LA Code,households,fuel_poor,proportion
E06000001,40843,4995,12.229757853242907
E06000002,57778,8880,15.369171657032087
E06000003,60247,7263,12.055372051720417
E06000004,79982,8911,11.141256782776125
E06000005,47148,5884,12.479850682955798
E06000006,54421,4992,9.172929567630144
E06000007,86956,6916,7.953447720686324
E06000008,58539,7959,13.596064162353303
E06000009,65773,9288,14.121295972511517
E06000010,114915,13413,11.672105469259888
E06000011,146078,11964,8.190144991032188
E06000012,71187,7678,10.785677160155647
E06000013,72141,5891,8.165952786903425
E06000014,85278,7695,9.02342925490748
E06000015,104287,13397,12.846279977370143
E06000016,125643,20810,16.56280095190341
E06000017,15305,1424,9.304148970924535
E06000018,128710,18050,14.02377437650532
E06000019,78628,11098,14.114564786081294
E06000020,66858,7232,10.816955338179426
E06000021,107993,15847,14.674099247173428
E06000022,77428,9354,12.08090096605879
E06000023,191878,25379,13.226633590093705
E06000024,92931,8861,9.535031367358577
E06000025,113101,10243,9.056507015853086
E06000026,114977,15407,13.400071318611548
E06000027,62146,7941,12.777974447269333
E06000030,93120,9115,9.78844501718213
E06000031,76061,7383,9.706682794073178
E06000032,76281,10217,13.393898873900447
E06000033,76619,7511,9.80305146243099
E06000034,64025,5554,8.674736431081609
E06000035,109312,10701,9.78941012880562
E06000036,47277,2646,5.596801827527127
E06000037,64165,4264,6.645367412140575
E06000038,64742,7264,11.21991906335918
E06000039,52217,5284,10.119309803320757
E06000040,60046,4591,7.645804882923092
E06000041,62150,3858,6.207562349155269
E06000042,101557,6408,6.309757082229684
E06000043,125027,14863,11.8878322282387
E06000044,87895,10784,12.269184822799932
E06000045,101116,10429,10.313896910479054
E06000046,62835,6301,10.02785072014005
E06000047,226091,26050,11.521909319698706
E06000049,162840,14296,8.779169737165315
E06000050,144489,12823,8.874724027434615
E06000051,130170,17222,13.230391027118385
E06000052,242388,34998,14.43883360562404
E06000053,1052,236,22.433460076045627
E06000054,204471,20523,10.037120178411609
E06000055,65504,6625,10.113886174890082
E06000056,107092,8203,7.6597691704329
E06000057,139995,15962,11.40183577984928
E06000058,175650,17979,10.235695986336465
E06000059,167136,16883,10.101354585487268
E06000060,206693,15492,7.495174002022323
E06000061,135265,12441,9.197501201345506
E06000062,158254,14926,9.431673133064567
E07000008,47964,5788,12.067383871236762
E07000009,35504,2588,7.289319513294276
E07000010,41585,3275,7.875435854274378
E07000011,71126,4968,6.9847875601046034
E07000012,61555,4393,7.136707009991065
E07000026,43212,4536,10.49708414329353
E07000027,31885,4604,14.43939156343108
E07000028,49337,5002,10.13843565680929
E07000029,31198,3059,9.805115712545675
E07000030,23529,2671,11.351948659101534
E07000031,47561,4810,10.113328147011206
E07000032,53649,5509,10.268597737143283
E07000033,33442,3294,9.84988936068417
E07000034,47745,4794,10.040841972981465
E07000035,31385,3560,11.342998247570495
E07000036,49665,5172,10.41377227423739
E07000037,39744,4162,10.472020933977454
E07000038,43962,3949,8.98275783631318
E07000039,39758,3573,8.986870566929927
E07000040,62073,6842,11.022505759347863
E07000041,51816,6796,13.115639956770108
E07000042,34458,4397,12.76046201172442
E07000043,42019,5701,13.567671767533735
E07000044,38772,4711,12.150520994532137
E07000045,56796,6704,11.80364814423551
E07000046,29409,4122,14.016117515046414
E07000047,23894,3286,13.752406461873273
E07000061,46344,3950,8.523217676506128
E07000062,42327,5006,11.826966239043637
E07000063,43388,3339,7.695676223840693
E07000064,42051,3749,8.915364676226487
E07000065,64469,4772,7.4020071662349345
E07000066,74621,5246,7.030192573136248
E07000067,62639,5107,8.15306757770718
E07000068,31457,2427,7.715293893251104
E07000069,37407,2828,7.560082337530409
E07000070,71499,5283,7.388914530273151
E07000071,73595,6212,8.440790814593383
E07000072,53411,4449,8.329744809121717
E07000073,35527,2608,7.340895656824387
E07000074,26500,2187,8.252830188679246
E07000075,34466,2465,7.151975860268091
E07000076,63786,5983,9.37980121029693
E07000077,32160,2732,8.49502487562189
E07000078,53581,5908,11.026296635001213
E07000079,38219,4226,11.057327507260787
E07000080,35930,4181,11.63651544670192
E07000081,53027,5666,10.685122673355083
E07000082,50226,5326,10.604069605383666
E07000083,36988,3373,9.119173786092787
E07000084,71392,4232,5.927835051546391
E07000085,48652,3183,6.542382635862863
E07000086,53691,3446,6.4182078933154525
E07000087,47919,2842,5.930841628581565
E07000088,36446,2755,7.559128573780387
E07000089,36568,2218,6.065412382410851
E07000090,52759,3917,7.424325707462234
E07000091,79061,5470,6.918708339130545
E07000092,37483,2613,6.971160259317558
E07000093,49012,3240,6.610625969150412
E07000094,48237,3601,7.465223790865933
E07000095,38627,2896,7.497346415719575
E07000096,61483,4778,7.771253842525576
E07000098,40826,3344,8.190858766472346
E07000099,54822,4505,8.217503921783226
E07000102,36044,2869,7.959715902785485
E07000103,37593,3827,10.180086718272019
E07000105,49197,3730,7.581763115637133
E07000106,62533,5878,9.399836886124126
E07000107,41256,3111,7.540721349621873
E07000108,49641,4702,9.47200902479805
E07000109,41623,3984,9.571631069360691
E07000110,65267,5109,7.827845618765992
E07000111,48390,3705,7.656540607563546
E07000112,48711,4589,9.420870029356818
E07000113,57215,5022,8.77741850913222
E07000114,61219,6279,10.256619676897696
E07000115,49542,3629,7.325097896734084
E07000116,48503,4157,8.57060388017236
E07000117,38368,5436,14.168056713928273
E07000118,45892,3783,8.24326680031378
E07000119,35618,2899,8.139143129878152
E07000120,35073,4901,13.973711972172326
E07000121,59100,6838,11.570219966159053
E07000122,38149,5982,15.68062072400325
E07000123,58773,7566,12.873258128732582
E07000124,24587,2308,9.387074470248505
E07000125,29671,3069,10.343432981699301
E07000126,47109,3699,7.852002802012355
E07000127,46348,3995,8.619573660136359
E07000128,48296,4368,9.044227265197947
E07000129,39450,3142,7.964512040557668
E07000130,67880,6605,9.730406599882144
E07000131,35616,2799,7.8588274932614555
E07000132,46281,3965,8.567230612994534
E07000133,21924,2073,9.455391351943076
E07000134,39913,3597,9.012101320371809
E07000135,21798,2085,9.565097715386733
E07000136,27804,2931,10.541648683642642
E07000137,62150,6472,10.413515687851971
E07000138,40646,4846,11.922452393839492
E07000139,46858,3605,7.693456827009262
E07000140,37999,3018,7.942314271428195
E07000141,58487,5206,8.9011233265512
