"Area.Codes","households","fuel_poor","proportion"
"E06000001",40875,7981,19.5253822629969
"E06000002",57832,13682,23.6581823212063
"E06000003",60241,11748,19.501668298999
"E06000004",80051,14165,17.6949694569712
"E06000005",47177,9801,20.7749538970261
"E06000006",54209,8666,15.9862753417329
"E06000007",86591,11956,13.8074395722419
"E06000008",58325,11933,20.4594942134591
"E06000009",65501,14244,21.7462328819407
"E06000010",113998,24793,21.7486271688977
"E06000011",144838,24161,16.6813957663044
"E06000012",70581,14296,20.2547427778014
"E06000013",71569,12042,16.8257206332351
"E06000014",84601,14974,17.6995543787898
"E06000015",104703,18439,17.6107656896173
"E06000016",126158,28035,22.2221341492414
"E06000017",15366,2690,17.5061824808018
"E06000018",129238,26804,20.7400300221297
"E06000019",79154,19764,24.9690476792076
"E06000020",67301,11260,16.7308063773198
"E06000021",108672,22496,20.7008244994111
"E06000022",77379,16835,21.7565489344654
"E06000023",191818,43091,22.4645236630556
"E06000024",92907,15140,16.2958657582314
"E06000025",113092,17815,15.7526615498886
"E06000026",114958,24290,21.1294559752257
"E06000027",62128,11936,19.2119495235643
"E06000030",93083,15076,16.196297927656
"E06000031",76128,10628,13.9606977721732
"E06000032",76337,12080,15.8245673788595
"E06000033",76668,11397,14.8653936453279
"E06000034",64109,7833,12.2182532873699
"E06000035",109768,16748,15.2576342832155
"E06000036",47478,4519,9.51809259025233
"E06000037",64437,8794,13.6474385834226
"E06000038",65015,11553,17.7697454433592
"E06000039",52424,7123,13.5872882649168
"E06000040",60300,8163,13.5373134328358
"E06000041",62404,6239,9.99775655406705
"E06000042",101976,10052,9.85722130697419
"E06000043",125532,25507,20.3191218175445
"E06000044",88263,17208,19.496278168655
"E06000045",101531,16474,16.2255862741429
"E06000046",63093,9314,14.7623349658441
"E06000047",226226,45570,20.1435732409184
"E06000049",162174,26966,16.6278195025096
"E06000050",143904,23861,16.5811930175673
"E06000051",130948,31573,24.1110975348994
"E06000052",242313,59758,24.6614915419313
"E06000053",1051,353,33.5870599429115
"E06000054",204443,42370,20.7246029455643
"E06000055",65522,9910,15.1246909434999
"E06000056",107161,12929,12.0650236559943
"E06000057",140057,30802,21.992474492528
"E06000058",175563,29045,16.5439187072447
"E06000059",167058,29898,17.8967783644004
"E06000060",207550,27162,13.0869669959046
"E06000061",135811,20821,15.3308642157115
"E06000062",158903,25309,15.9273267339194
"E07000008",47995,8988,18.7269507240338
"E07000009",35530,4707,13.2479594708697
"E07000010",41619,5169,12.4198082606502
"E07000011",71207,7904,11.1000323001952
"E07000012",61602,8036,13.0450310054868
"E07000026",43045,9050,21.024509234522
"E07000027",31764,6422,20.2178566931117
"E07000028",49142,9679,19.6959830694721
"E07000029",31077,5735,18.4541622421727
"E07000030",23431,6331,27.019760146814
"E07000031",47359,9273,19.5802276230495
"E07000032",53853,8953,16.6248862644607
"E07000033",33571,5462,16.2699949361056
"E07000034",47925,7580,15.8163797600417
"E07000035",31524,6328,20.073594721482
"E07000036",49883,7762,15.5604113625885
"E07000037",39898,6943,17.4018747806908
"E07000038",44134,6329,14.340417818462
"E07000039",39903,5963,14.9437385660226
"E07000040",62047,11530,18.5826873176785
"E07000041",51821,10525,20.3102989135679
"E07000042",34422,8182,23.7696821800012
"E07000043",42011,9626,22.9130465830378
"E07000044",38761,8436,21.7641443719202
"E07000045",56779,10933,19.2553584952183
"E07000046",29396,7255,24.680228602531
"E07000047",23891,5976,25.0136034489975
"E07000061",46540,6616,14.2157284056725
"E07000062",42499,8309,19.5510482599591
"E07000063",43569,5920,13.5876425899148
"E07000064",42232,6283,14.8773441939761
"E07000065",64713,8562,13.2307264382736
"E07000066",74711,7796,10.434875721112
"E07000067",62687,8641,13.7843572032479
"E07000068",31462,3623,11.5154789905283
"E07000069",37438,3930,10.4973556279716
"E07000070",71553,8095,11.3132922449094
"E07000071",73643,9514,12.9190826011977
"E07000072",53459,6905,12.9164406367497
"E07000073",35561,4176,11.743201822221
"E07000074",26517,3996,15.0695780065618
"E07000075",34475,3511,10.1841914430747
"E07000076",63823,8461,13.2569763251492
"E07000077",32181,5148,15.9970168733103
"E07000078",53563,10070,18.8002912458227
"E07000079",38205,9148,23.9445098809056
"E07000080",35924,8359,23.2685669747244
"E07000081",53018,8400,15.84367573277
"E07000082",50206,9233,18.3902322431582
"E07000083",36980,5709,15.4380746349378
"E07000084",71704,8189,11.420562311726
"E07000085",48828,5805,11.8886704349963
"E07000086",53930,5397,10.0074170220656
"E07000087",48110,4438,9.22469341093328
"E07000088",36598,4564,12.4706268102082
"E07000089",36725,3798,10.3417290673928
"E07000090",52965,5981,11.2923628811479
"E07000091",79391,8923,11.2393092416017
"E07000092",37641,4382,11.6415610637337
"E07000093",49204,6834,13.8891147061215
"E07000094",48431,6910,14.2677210877331
"E07000095",38656,4224,10.9271523178808
"E07000096",61530,7433,12.0802860393304
"E07000098",40872,4945,12.098747308671
"E07000099",54869,7265,13.2406276768303
"E07000102",36057,4222,11.7092381507058
"E07000103",37636,5334,14.1726007014561
"E07000105",49409,6806,13.7748183529317
"E07000106",62799,9666,15.3919648402045
"E07000107",41425,4932,11.905853952927
"E07000108",49844,8070,16.1905144049434
"E07000109",41789,6293,15.058986814712
"E07000110",65548,8811,13.4420577286874
