"","Area.Codes","households","fuel_poor","proportion"
"1","E06000001",42645,6292,14.7543674522218
"2","E06000002",60318,9966,16.52243111509
"3","E06000003",62870,9066,14.4202322252267
"4","E06000004",83510,10829,12.9673093042749
"5","E06000005",49204,6881,13.9846353954963
"6","E06000006",56233,7889,14.0291288033717
"7","E06000007",89883,10401,11.571709889523
"8","E06000008",60504,9922,16.3989157741637
"9","E06000009",68041,11066,16.2637233432783
"10","E06000010",119733,23434,19.5718807680422
"11","E06000011",152382,21259,13.9511228360305
"12","E06000012",74239,12396,16.6974231872735
"13","E06000013",75168,12097,16.0932843763304
"14","E06000014",88898,11992,13.4896173142253
"15","E06000015",109670,17089,15.5822011489012
"16","E06000016",132344,25118,18.9793266033972
"17","E06000017",16102,1890,11.7376723388399
"18","E06000018",135580,25068,18.4894527216404
"19","E06000019",84028,13902,16.5444851716095
"20","E06000020",71336,11101,15.5615677918583
"21","E06000021",115172,25134,21.8230125377696
"22","E06000022",81129,8314,10.247876838122
"23","E06000023",200622,27615,13.7646918084756
"24","E06000024",97431,8322,8.54142931921052
"25","E06000025",118445,9439,7.96909958208451
"26","E06000026",120391,14867,12.3489297372727
"27","E06000027",65146,6869,10.5440088416787
"28","E06000030",97673,9402,9.62599694900331
"29","E06000031",80172,12192,15.2073042957641
"30","E06000032",80287,12886,16.0499209087399
"31","E06000033",80525,11904,14.7829866501087
"32","E06000034",67416,9006,13.3588465646137
"33","E06000035",114663,10207,8.90173813697531
"34","E06000036",49677,2657,5.34855164361777
"35","E06000037",67274,4234,6.29366471445135
"36","E06000038",67961,6999,10.2985535822016
"37","E06000039",54738,5105,9.32624502173993
"38","E06000040",62957,3723,5.91356004892228
"39","E06000041",65254,3047,4.66944555123058
"40","E06000042",106654,6746,6.32512610872541
"41","E06000043",130998,13723,10.4757324539306
"42","E06000044",92144,9873,10.714750824796
"43","E06000045",106104,11367,10.7130739651663
"44","E06000046",65861,5839,8.86564127480603
"45","E06000047",235959,36620,15.519645362118
"46","E06000049",168372,18336,10.8901717625258
"47","E06000050",149439,17869,11.9573872951505
"48","E06000051",138460,22819,16.4805720063556
"49","E06000052",253805,29123,11.4745572388251
"50","E06000053",1107,130,11.743450767841
"51","E06000054",214350,21058,9.82411943083742
"52","E06000055",68890,9588,13.9178400348381
"53","E06000056",112472,13023,11.5788818550395
"54","E06000057",146167,20640,14.120834388063
"55","E06000058",183610,18889,10.2875660367082
"56","E06000059",175109,16280,9.29706639864313
"57","E06000060",216950,14131,6.5134823692095
"170","E06000061",142239,18527,13.0252603013238
"171","E06000062",166588,19711,11.8321847912215
"58","E07000008",50486,7535,14.9249296834766
"59","E07000009",37304,5097,13.6634141110873
"60","E07000010",43565,6887,15.8085619189716
"61","E07000011",74808,8487,11.3450433108758
"62","E07000012",64768,6677,10.3091032608696
"63","E07000026",44660,7209,16.1419614867891
"64","E07000027",32967,4704,14.2688142688143
"65","E07000028",50955,7502,14.7227946227063
"66","E07000029",32275,5072,15.714949651433
"67","E07000030",24309,3474,14.2910033320992
"68","E07000031",49212,5883,11.9544013655206
"69","E07000032",56377,7872,13.9631409972152
"70","E07000033",35135,5707,16.2430624733172
"71","E07000034",50185,7485,14.9148151838199
"72","E07000035",33096,4468,13.500120860527
"73","E07000036",52240,6951,13.3058958652374
"74","E07000037",41854,5499,13.1385291728389
"75","E07000038",46261,6247,13.5038153087914
"76","E07000039",41778,4916,11.76695868639
"77","E07000040",64942,6148,9.46690893412583
"78","E07000041",54298,6439,11.8586319938119
"79","E07000042",36079,4162,11.5357964466864
"80","E07000043",43963,5073,11.5392489138594
"81","E07000044",40597,3834,9.44404758972338
"82","E07000045",59478,5886,9.89609603550893
"83","E07000046",30763,3637,11.8226440854273
"84","E07000047",25010,2872,11.4834066373451
"85","E07000061",48630,4118,8.46802385358832
"86","E07000062",44311,4780,10.7873891358805
"87","E07000063",45481,3216,7.07108462874607
"88","E07000064",44106,3807,8.63147871037954
"89","E07000065",67567,4524,6.69557624284044
"90","E07000066",78458,9275,11.8216115628744
"91","E07000067",65848,8609,13.0740493257198
"92","E07000068",33069,3358,10.1545253863135
"93","E07000069",39359,4502,11.4382987372647
"94","E07000070",75179,7962,10.5907234733104
"95","E07000071",77572,9927,12.7971432991286
"96","E07000072",56254,6332,11.256088455932
"97","E07000073",37401,4986,13.3311943530922
"98","E07000074",27869,3381,12.1317593024508
"99","E07000075",36255,3624,9.99586263963591
"100","E07000076",67144,10254,15.271654950554
"101","E07000077",33867,4026,11.8876782708832
"102","E07000078",56113,6175,11.0045800438401
"103","E07000079",40114,4058,10.116168918582
"104","E07000080",37627,4795,12.743508650703
"105","E07000081",55588,5795,10.4249118514787
"106","E07000082",52539,5340,10.1638782618626
"107","E07000083",38790,3250,8.37844805362207
"108","E07000084",75020,4701,6.26632897893895
"109","E07000085",51044,3048,5.97131886215814
"110","E07000086",56308,3403,6.04354621013
"111","E07000087",50236,2686,5.346763277331
"112","E07000088",38215,2942,7.69854769069737
"113","E07000089",38395,1831,4.7688501106915
"114","E07000090",55280,4121,7.45477568740955
"115","E07000091",82935,5105,6.15542292156508
"116","E07000092",39418,3040,7.712212694708
"117","E07000093",51394,3303,6.42682025139121
"118","E07000094",50582,3308,6.53987584516231
"119","E07000095",40599,4286,10.5569102687258
"120","E07000096",64610,7095,10.9812722488779
"121","E07000098",42914,4537,10.5723074055087
"122","E07000099",57680,6983,12.1064493758669
"123","E07000102",37918,4053,10.6888548974102
"124","E07000103",39453,5417,13.7302613236002
"125","E07000105",51634,3944,7.63837781306891
"126","E07000106",65602,5721,8.72077070821012
"127","E07000107",43292,3232,7.46558255566848
"128","E07000108",51976,5146,9.90072341080499
"129","E07000109",43668,4104,9.39818631492168
"130","E07000110",68469,5298,7.73780835122464
"131","E07000111",50737,3383,6.66771783905237
"132","E07000112",50959,4709,9.24076218136149
"133","E07000113",59997,5453,9.08878777272197
"134","E07000114",64157,6769,10.5506803622364
"135","E07000115",51981,3614,6.9525403512822
"136","E07000116",50814,4135,8.13752115558704
"137","E07000117",39670,6507,16.4028232921603
"138","E07000118",47473,5635,11.8699049986308
"139","E07000119",36781,4117,11.1932791386857
"140","E07000120",36271,5642,15.5551266852306
"141","E07000121",61141,8869,14.5058144289429
"142","E07000122",39460,6818,17.2782564622402
"143","E07000123",60749,9181,15.113005975407
"144","E07000124",25463,2978,11.6954011703256
"145","E07000125",30654,4549,14.8398251451687
"146","E07000126",48730,5240,10.7531294890211
"147","E07000127",47944,6290,13.1194727181712
"148","E07000128",49967,5996,11.9999199471651
"149","E07000129",41491,4008,9.65992624906606
"150","E07000130",71430,8448,11.8269634607308
"151","E07000131",37494,3625,9.6682135808396
"152","E07000132",48696,5566,11.4300969278791
