Area Codes,households,fuel_poor,proportion
E06000001,41885,5993,14.308224901516056
E06000002,61626,10244,16.62285399019894
E06000003,63059,9300,14.748093055709733
E06000004,85685,10424,12.165489875707532
E06000005,50028,7255,14.501878947789237
E06000006,57101,7097,12.428854135654367
E06000007,92463,9868,10.672377058931682
E06000008,60004,10978,18.295446970201986
E06000009,66217,13404,20.242535904677048
E06000010,118603,23567,19.870492314696932
E06000011,156129,22429,14.36568478629851
E06000012,71774,13201,18.392454092011036
E06000013,75148,11781,15.67706392718369
E06000014,87805,11845,13.4901201526109
E06000015,107601,16886,15.693162702948857
E06000016,129813,24543,18.906426937209677
E06000017,17005,2193,12.89620699794178
E06000018,127172,22999,18.08495580788224
E06000019,84773,16302,19.230179420334302
E06000020,78285,11686,14.927508462668454
E06000021,113041,25897,22.909386859635
E06000022,82254,9990,12.145306003355461
E06000023,198417,25451,12.827025910078268
E06000024,98139,10153,10.345530319241076
E06000025,122450,10295,8.407513270722744
E06000026,118749,16017,13.48811358411439
E06000027,65285,9251,14.17017691659646
E06000030,99544,8879,8.9196737121273
E06000031,85501,10941,12.796341563256568
E06000032,79824,13319,16.685458007616756
E06000033,79164,11802,14.908291647718661
E06000034,67129,7464,11.118890494421189
E06000035,113749,10765,9.463819462149118
E06000036,51360,2669,5.196651090342679
E06000037,67986,4550,6.692554349424881
E06000038,69044,6508,9.425873356120734
E06000039,53526,5049,9.432799013563502
E06000040,62132,4374,7.039850640571686
E06000041,70605,3726,5.277246653919694
E06000042,115439,7267,6.295099576399657
E06000043,123877,14399,11.623626661930786
E06000044,87933,10411,11.839696132282533
E06000045,104444,10902,10.438129523955421
E06000046,66045,7657,11.593610417139828
E06000047,239995,35210,14.671138982062127
E06000049,178465,20760,11.632532989661838
E06000050,158412,18705,11.807817589576548
E06000051,142625,25730,18.040315512708148
E06000052,259453,36274,13.980952234123329
E06000053,984,160,16.260162601626014
E06000054,223094,23209,10.403238096945682
E06000055,75776,9360,12.352195945945946
E06000056,122022,12192,9.991640851649702
E06000057,150253,20676,13.76079013397403
E06000058,179925,20319,11.293038766152563
E06000059,175462,20228,11.528422108490727
E06000060,224846,16933,7.53093228254005
E06000061,151540,18507,12.21261713079055
E06000062,175784,20369,11.587516497519683
E07000008,53061,6123,11.53954882116809
E07000009,37591,4676,12.439147668324866
E07000010,44519,5981,13.434713268492104
E07000011,77694,7745,9.968594743480836
E07000012,67732,7364,10.872261264985532
E07000026,44692,6712,15.018347802738747
E07000027,32740,5469,16.704337202199145
E07000028,51012,7273,14.257429624402102
E07000029,32359,4727,14.607991594301431
E07000030,24131,3618,14.993162322323982
E07000031,48876,6560,13.421720271707995
