"","Fuel Poverty in Local Authorities","...2","...3","...4","...5","...6"
"1",NA,NA,NA,NA,NA,NA
"2","LA Code","LA Name","English region","All Households","Fuel Poor Households","Percent Fuel Poor"
"3","00AA","City of London","London","4782","120","2.5000000000000001E-2"
"4","00AB","Barking and Dagenham","London","67697","6678","9.9000000000000005E-2"
"5","00AC","Barnet","London","129022","16235","0.126"
"6","00AD","Bexley","London","87786","9869","0.112"
"7","00AE","Brent","London","102836","12415","0.121"
"8","00AF","Bromley","London","125396","13299","0.106"
"9","00AG","Camden","London","94565","8138","8.5999999999999993E-2"
"10","00AH","Croydon","London","140659","15196","0.108"
"11","00AJ","Ealing","London","120090","14425","0.12"
"12","00AK","Enfield","London","111728","12345","0.11"
"13","00AL","Greenwich","London","98384","7986","8.1000000000000003E-2"
"14","00AM","Hackney","London","93240","6326","6.8000000000000005E-2"
"15","00AN","Hammersmith and Fulham","London","76561","7707","0.10100000000000001"
"16","00AP","Haringey","London","95302","10632","0.112"
"17","00AQ","Harrow","London","79983","10174","0.127"
"18","00AR","Havering","London","92429","9924","0.107"
"19","00AS","Hillingdon","London","96885","10536","0.109"
"20","00AT","Hounslow","London","87673","9441","0.108"
"21","00AU","Islington","London","91620","6084","6.6000000000000003E-2"
"22","00AW","Kensington and Chelsea","London","78723","7932","0.10100000000000001"
"23","00AX","Kingston upon Thames","London","61659","7392","0.12"
"24","00AY","Lambeth","London","123021","9200","7.4999999999999997E-2"
"25","00AZ","Lewisham","London","107982","8853","8.2000000000000003E-2"
"26","00BA","Merton","London","79478","8788","0.111"
"27","00BB","Newham","London","97251","11027","0.113"
"28","00BC","Redbridge","London","94678","11350","0.12"
"29","00BD","Richmond upon Thames","London","76050","8433","0.111"
"30","00BE","Southwark","London","111599","5545","0.05"
"31","00BF","Sutton","London","76598","7654","0.1"
"32","00BG","Tower Hamlets","London","95191","3575","3.7999999999999999E-2"
"33","00BH","Waltham Forest","London","89810","10568","0.11799999999999999"
"34","00BJ","Wandsworth","London","120437","10394","8.5999999999999993E-2"
"35","00BK","Westminster","London","93571","7804","8.3000000000000004E-2"
"36","00BL","Bolton","North West","114929","13103","0.114"
"37","00BM","Bury","North West","78340","9699","0.124"
"38","00BN","Manchester","North West","188232","24970","0.13300000000000001"
"39","00BP","Oldham","North West","89738","10136","0.113"
"40","00BQ","Rochdale","North West","85779","9888","0.115"
"41","00BR","Salford","North West","101252","11277","0.111"
"42","00BS","Stockport","North West","124457","15274","0.123"
"43","00BT","Tameside","North West","94520","11211","0.11899999999999999"
"44","00BU","Trafford","North West","94513","12355","0.13100000000000001"
"45","00BW","Wigan","North West","133814","15056","0.113"
"46","00BX","Knowsley","North West","62840","6211","9.9000000000000005E-2"
"47","00BY","Liverpool","North West","196563","27689","0.14099999999999999"
"48","00BZ","St. Helens","North West","76911","8720","0.113"
"49","00CA","Sefton","North West","121187","17425","0.14399999999999999"
"50","00CB","Wirral","North West","138678","18708","0.13500000000000001"
"51","00CC","Barnsley","Yorkshire and the Humber","102298","11175","0.109"
"52","00CE","Doncaster","Yorkshire and the Humber","127619","14516","0.114"
"53","00CF","Rotherham","Yorkshire and the Humber","110636","11160","0.10100000000000001"
"54","00CG","Sheffield","Yorkshire and the Humber","234605","25899","0.11"
"55","00CH","Gateshead","North East","90472","9890","0.109"
"56","00CJ","Newcastle upon Tyne","North East","116730","14149","0.121"
"57","00CK","North Tyneside","North East","91679","9793","0.107"
"58","00CL","South Tyneside","North East","69760","7140","0.10199999999999999"
"59","00CM","Sunderland","North East","121556","14482","0.11899999999999999"
"60","00CN","Birmingham","West Midlands","407865","63158","0.155"
"61","00CQ","Coventry","West Midlands","128258","20085","0.157"
"62","00CR","Dudley","West Midlands","129756","16668","0.128"
"63","00CS","Sandwell","West Midlands","120649","16921","0.14000000000000001"
"64","00CT","Solihull","West Midlands","85555","9909","0.11600000000000001"
"65","00CU","Walsall","West Midlands","104830","13686","0.13100000000000001"
"66","00CW","Wolverhampton","West Midlands","99664","14770","0.14799999999999999"
"67","00CX","Bradford","Yorkshire and the Humber","198766","25050","0.126"
"68","00CY","Calderdale","Yorkshire and the Humber","90018","10870","0.121"
"69","00CZ","Kirklees","Yorkshire and the Humber","175184","20074","0.115"
"70","00DA","Leeds","Yorkshire and the Humber","336974","37137","0.11"
"71","00DB","Wakefield","Yorkshire and the Humber","144946","13575","9.4E-2"
"72","00EB","Hartlepool","North East","40743","5234","0.128"
"73","00EC","Middlesbrough","North East","57741","8972","0.155"
"74","00EE","Redcar and Cleveland","North East","60876","7889","0.13"
"75","00EF","Stockton-on-Tees","North East","80765","9517","0.11799999999999999"
"76","00EH","Darlington","North East","47470","6973","0.14699999999999999"
"77","00EJ","Durham UA","North East","227622","29702","0.13"
"78","00EM","Northumberland UA","North East","141779","17943","0.127"
"79","00EQ","Cheshire East UA","North West","158607","18469","0.11600000000000001"
"80","00ET","Halton","North West","51423","4951","9.6000000000000002E-2"
"81","00EU","Warrington","North West","86246","8720","0.10100000000000001"
"82","00EW","Cheshire West and Chester UA and Chester UA","North West","141703","15790","0.111"
"83","00EX","Blackburn with Darwen","North West","55050","7367","0.13400000000000001"
"84","00EY","Blackpool","North West","67572","12143","0.18"
