"","2. Fuel Poverty by Local Authority","...2","...3","...4","...5","...6"
"1",NA,NA,NA,NA,NA,NA
"2","LA Code","LA Name","Region","Estimated number of households","Estimated number of Fuel Poor Households","Proportion of households fuel poor (%)"
"3","E06000001","Hartlepool","North East","39671","4616","11.6"
"4","E06000002","Middlesbrough","North East","56144","8457","15.1"
"5","E06000003","Redcar and Cleveland","North East","58500","6666","11.4"
"6","E06000004","Stockton-on-Tees","North East","77665","8010","10.3"
"7","E06000005","Darlington","North East","45813","5418","11.8"
"8","E06000006","Halton","North West","52722","4841","9.1999999999999993"
"9","E06000007","Warrington","North West","84202","6947","8.3000000000000007"
"10","E06000008","Blackburn with Darwen","North West","56726","7937","14"
"11","E06000009","Blackpool","North West","63630","8608","13.5"
"12","E06000010","Kingston upon Hull City of","Yorkshire and The Humber","115099","12791","11.1"
"13","E06000011","East Riding of Yorkshire","Yorkshire and The Humber","146252","12166","8.3000000000000007"
"14","E06000012","North East Lincolnshire","Yorkshire and The Humber","71283","7164","10.1"
"15","E06000013","North Lincolnshire","Yorkshire and The Humber","72252","6225","8.6"
"16","E06000014","York","Yorkshire and The Humber","85422","7758","9.1"
"17","E06000015","Derby","East Midlands","104376","16663","16"
"18","E06000016","Leicester","East Midlands","125774","26771","21.3"
"19","E06000017","Rutland","East Midlands","15320","1830","11.9"
"20","E06000018","Nottingham","East Midlands","128819","23648","18.399999999999999"
"21","E06000019","Herefordshire County of","West Midlands","76472","12504","16.399999999999999"
"22","E06000020","Telford and Wrekin","West Midlands","65071","7175","11"
"23","E06000021","Stoke-on-Trent","West Midlands","105113","16894","16.100000000000001"
"24","E06000022","Bath and North East Somerset","South West","75847","7216","9.5"
"25","E06000023","Bristol City of","South West","188220","20816","11.1"
"26","E06000024","North Somerset","South West","91047","6615","7.3"
"27","E06000025","South Gloucestershire","South West","110874","7481","6.7"
"28","E06000026","Plymouth","South West","112703","11584","10.3"
"29","E06000027","Torbay","South West","60890","5989","9.8000000000000007"
"30","E06000028","Bournemouth","South West","84750","8367","9.9"
"31","E06000029","Poole","South West","65450","4805","7.3"
"32","E06000030","Swindon","South West","91212","6964","7.6"
"33","E06000031","Peterborough","East of England","73145","7012","9.6"
"34","E06000032","Luton","East of England","73410","9842","13.4"
"35","E06000033","Southend-on-Sea","East of England","73805","6811","9.1999999999999993"
"36","E06000034","Thurrock","East of England","61598","4598","7.5"
"37","E06000035","Medway","South East","106126","9143","8.6"
"38","E06000036","Bracknell Forest","South East","45842","2234","4.9000000000000004"
"39","E06000037","West Berkshire","South East","62286","4118","6.6"
"40","E06000038","Reading","South East","62815","6695","10.7"
"41","E06000039","Slough","South East","50726","5091","10"
"42","E06000040","Windsor and Maidenhead","South East","58304","4301","7.4"
"43","E06000041","Wokingham","South East","60284","3357","5.6"
"44","E06000042","Milton Keynes","South East","98489","5367","5.4"
"45","E06000043","Brighton and Hove","South East","121434","13025","10.7"
"46","E06000044","Portsmouth","South East","85400","9114","10.7"
"47","E06000045","Southampton","South East","98183","9889","10.1"
"48","E06000046","Isle of Wight","South East","61040","5799","9.5"
"49","E06000047","County Durham","North East","219725","25079","11.4"
"50","E06000048","Northumberland","North East","135954","16009","11.8"
"51","E06000049","Cheshire East","North West","157652","14908","9.5"
"52","E06000050","Cheshire West and Chester","North West","139867","13081","9.4"
"53","E06000051","Shropshire","West Midlands","126825","19572","15.4"
"54","E06000052","Cornwall","South West","237557","27067","11.4"
"55","E06000053","Isles of Scilly","South West","1025","202","19.7"
"56","E06000054","Wiltshire","South West","200358","15917","7.9"
"57","E06000055","Bedford","East of England","63057","6214","9.9"
"58","E06000056","Central Bedfordshire","East of England","103226","7422","7.2"
"59","E07000004","Aylesbury Vale","South East","69331","4828","7"
"60","E07000005","Chiltern","South East","36907","2855","7.7"
"61","E07000006","South Bucks","South East","26498","2034","7.7"
"62","E07000007","Wycombe","South East","67792","5490","8.1"
"63","E07000008","Cambridge","East of England","46157","6087","13.2"
"64","E07000009","East Cambridgeshire","East of England","34210","2460","7.2"
"65","E07000010","Fenland","East of England","40197","3297","8.1999999999999993"
"66","E07000011","Huntingdonshire","East of England","68537","4342","6.3"
"67","E07000012","South Cambridgeshire","East of England","59234","4326","7.3"
"68","E07000026","Allerdale","North West","41901","4745","11.3"
"69","E07000027","Barrow-in-Furness","North West","30877","4042","13.1"
"70","E07000028","Carlisle","North West","47828","5191","10.9"
"71","E07000029","Copeland","North West","30169","3155","10.5"
"72","E07000030","Eden","North West","22776","2956","13"
"73","E07000031","South Lakeland","North West","46021","5339","11.6"
"74","E07000032","Amber Valley","East Midlands","53681","7078","13.2"
"75","E07000033","Bolsover","East Midlands","33465","4153","12.4"
"76","E07000034","Chesterfield","East Midlands","47770","6217","13"
"77","E07000035","Derbyshire Dales","East Midlands","31430","4917","15.6"
"78","E07000036","Erewash","East Midlands","49722","6287","12.6"
"79","E07000037","High Peak","East Midlands","39760","5281","13.3"
"80","E07000038","North East Derbyshire","East Midlands","43985","5239","11.9"
"81","E07000039","South Derbyshire","East Midlands","39785","4393","11"
"82","E07000040","East Devon","South West","60867","5565","9.1"
"83","E07000041","Exeter","South West","50790","5430","10.7"
"84","E07000042","Mid Devon","South West","33774","3540","10.5"
"85","E07000043","North Devon","South West","41213","4536","11"
"86","E07000044","South Hams","South West","38002","3867","10.199999999999999"
"87","E07000045","Teignbridge","South West","55679","5171","9.3000000000000007"
"88","E07000046","Torridge","South West","28838","3300","11.4"
"89","E07000047","West Devon","South West","23425","2724","11.6"
"90","E07000048","Christchurch","South West","22139","1456","6.6"
"91","E07000049","East Dorset","South West","38744","2397","6.2"
"92","E07000050","North Dorset","South West","29582","2497","8.4"
"93","E07000051","Purbeck","South West","20207","1694","8.4"
"94","E07000052","West Dorset","South West","45782","4233","9.1999999999999993"
"95","E07000053","Weymouth and Portland","South West","29435","2775","9.4"
"96","E07000061","Eastbourne","South East","44977","3546","7.9"
"97","E07000062","Hastings","South East","41127","4440","10.8"
"98","E07000063","Lewes","South East","42151","3050","7.2"
"99","E07000064","Rother","South East","40848","3603","8.8000000000000007"
"100","E07000065","Wealden","South East","62622","4880","7.8"
"101","E07000066","Basildon","East of England","71911","4354","6.1"
"102","E07000067","Braintree","East of England","60339","4867","8.1"
"103","E07000068","Brentwood","East of England","30291","2324","7.7"
"104","E07000069","Castle Point","East of England","36015","2368","6.6"
"105","E07000070","Chelmsford","East of England","68858","4964","7.2"
"106","E07000071","Colchester","East of England","70782","5855","8.3000000000000007"
"107","E07000072","Epping Forest","East of England","51354","4224","8.1999999999999993"
"108","E07000073","Harlow","East of England","34237","2192","6.4"
"109","E07000074","Maldon","East of England","25507","2005","7.9"
"110","E07000075","Rochford","East of England","33173","2148","6.5"
"111","E07000076","Tendring","East of England","61365","5296","8.6"
"112","E07000077","Uttlesford","East of England","30940","2914","9.4"
"113","E07000078","Cheltenham","South West","52513","4664","8.9"
"114","E07000079","Cotswold","South West","37424","3632","9.6999999999999993"
"115","E07000080","Forest of Dean","South West","35227","3363","9.5"
"116","E07000081","Gloucester","South West","51963","4572","8.8000000000000007"
"117","E07000082","Stroud","South West","49246","4537","9.1999999999999993"
"118","E07000083","Tewkesbury","South West","36246","2713","7.5"
"119","E07000084","Basingstoke and Deane","South East","69255","3920","5.7"
"120","E07000085","East Hampshire","South East","47232","3096","6.6"
"121","E07000086","Eastleigh","South East","52136","3037","5.8"
"122","E07000087","Fareham","South East","46535","2441","5.2"
"123","E07000088","Gosport","South East","35386","2363","6.7"
"124","E07000089","Hart","South East","35472","1944","5.5"
"125","E07000090","Havant","South East","51277","3438","6.7"
