"","Table 2: Fuel Poverty by Local Authority1, 2017","...2","...3","...4","...5","...6"
"1",NA,NA,NA,NA,NA,NA
"2","LA Code","LA Name","Region","Estimated number of households","Estimated number of fuel poor households","Proportion of households fuel poor (%)"
"3","E06000001","Hartlepool","North East","41844","5291","12.6"
"4","E06000002","Middlesbrough","North East","59163","9106","15.4"
"5","E06000003","Redcar and Cleveland","North East","61674","7461","12.1"
"6","E06000004","Stockton-on-Tees","North East","81906","9219","11.3"
"7","E06000005","Darlington","North East","48267","5883","12.2"
"8","E06000006","Halton","North West","55763","6594","11.8"
"9","E06000007","Warrington","North West","89105","8776","9.8000000000000007"
"10","E06000008","Blackburn with Darwen","North West","59983","9895","16.5"
"11","E06000009","Blackpool","North West","67444","11787","17.5"
"12","E06000010","Kingston upon Hull City of","Yorkshire and The Humber","116322","13932","12"
"13","E06000011","East Riding of Yorkshire","Yorkshire and The Humber","147919","12527","8.5"
"14","E06000012","North East Lincolnshire","Yorkshire and The Humber","72075","8255","11.5"
"15","E06000013","North Lincolnshire","Yorkshire and The Humber","73013","6663","9.1"
"16","E06000014","York","Yorkshire and The Humber","86346","7697","8.9"
"17","E06000015","Derby","East Midlands","107351","11617","10.8"
"18","E06000016","Leicester","East Midlands","129468","17978","13.9"
"19","E06000017","Rutland","East Midlands","15763","1264","8"
"20","E06000018","Nottingham","East Midlands","132647","16722","12.6"
"21","E06000019","Herefordshire County of","West Midlands","82202","9990","12.2"
"22","E06000020","Telford and Wrekin","West Midlands","69808","7700","11"
"23","E06000021","Stoke-on-Trent","West Midlands","112735","16548","14.7"
"24","E06000022","Bath and North East Somerset","South West","79693","8657","10.9"
"25","E06000023","Bristol City of","South West","197240","23015","11.7"
"26","E06000024","North Somerset","South West","95697","9111","9.5"
"27","E06000025","South Gloucestershire","South West","116352","9525","8.1999999999999993"
"28","E06000026","Plymouth","South West","118270","15419","13"
"29","E06000027","Torbay","South West","63985","8060","12.6"
"30","E06000028","Bournemouth","South West","88672","10854","12.2"
"31","E06000029","Poole","South West","68607","6330","9.1999999999999993"
"32","E06000030","Swindon","South West","95918","8729","9.1"
"33","E06000031","Peterborough","East of England","78629","8990","11.4"
"34","E06000032","Luton","East of England","78769","10972","13.9"
"35","E06000033","Southend-on-Sea","East of England","79057","9017","11.4"
"36","E06000034","Thurrock","East of England","66141","6005","9.1"
"37","E06000035","Medway","South East","113307","11661","10.3"
"38","E06000036","Bracknell Forest","South East","49052","2826","5.8"
"39","E06000037","West Berkshire","South East","66481","4781","7.2"
"40","E06000038","Reading","South East","67112","7290","10.9"
"41","E06000039","Slough","South East","54074","5462","10.1"
"42","E06000040","Windsor and Maidenhead","South East","62214","4876","7.8"
"43","E06000041","Wokingham","South East","64460","4298","6.7"
"44","E06000042","Milton Keynes","South East","105356","7288","6.9"
"45","E06000043","Brighton and Hove","South East","129473","15125","11.7"
"46","E06000044","Portsmouth","South East","91044","10978","12.1"
"47","E06000045","Southampton","South East","104805","12022","11.5"
"48","E06000046","Isle of Wight","South East","65083","7155","11"
"49","E06000047","County Durham","North East","231517","27309","11.8"
"50","E06000048","Northumberland","North East","143347","15883","11.1"
"51","E06000049","Cheshire East","North West","166922","17564","10.5"
"52","E06000050","Cheshire West and Chester","North West","148106","16179","10.9"
"53","E06000051","Shropshire","West Midlands","135638","16013","11.8"
"54","E06000052","Cornwall","South West","249359","32883","13.2"
"55","E06000053","Isles of Scilly","South West","1084","135","12.5"
"56","E06000054","Wiltshire","South West","210529","19540","9.3000000000000007"
"57","E06000055","Bedford","East of England","67613","7495","11.1"
"58","E06000056","Central Bedfordshire","East of England","110439","9314","8.4"
"59","E07000004","Aylesbury Vale","South East","74235","5624","7.6"
"60","E07000005","Chiltern","South East","39421","3195","8.1"
"61","E07000006","South Bucks","South East","28241","2192","7.8"
"62","E07000007","Wycombe","South East","72397","6139","8.5"
"63","E07000008","Cambridge","East of England","49543","6075","12.3"
"64","E07000009","East Cambridgeshire","East of England","36626","3030","8.3000000000000007"
"65","E07000010","Fenland","East of England","42826","4345","10.1"
"66","E07000011","Huntingdonshire","East of England","73404","5961","8.1"
"67","E07000012","South Cambridgeshire","East of England","63568","5073","8"
"68","E07000026","Allerdale","North West","44269","5287","11.9"
"69","E07000027","Barrow-in-Furness","North West","32684","4920","15.1"
"70","E07000028","Carlisle","North West","50518","6113","12.1"
"71","E07000029","Copeland","North West","31995","3756","11.7"
"72","E07000030","Eden","North West","24106","2880","11.9"
"73","E07000031","South Lakeland","North West","48769","5296","10.9"
"74","E07000032","Amber Valley","East Midlands","55217","4874","8.8000000000000007"
"75","E07000033","Bolsover","East Midlands","34411","3184","9.3000000000000007"
"76","E07000034","Chesterfield","East Midlands","49140","4612","9.4"
"77","E07000035","Derbyshire Dales","East Midlands","32373","2878","8.9"
"78","E07000036","Erewash","East Midlands","51155","4706","9.1999999999999993"
"79","E07000037","High Peak","East Midlands","40968","3465","8.5"
"80","E07000038","North East Derbyshire","East Midlands","45288","3793","8.4"
"81","E07000039","South Derbyshire","East Midlands","40929","3226","7.9"
"82","E07000040","East Devon","South West","63839","6547","10.3"
"83","E07000041","Exeter","South West","53338","6596","12.4"
"84","E07000042","Mid Devon","South West","35459","3982","11.2"
"85","E07000043","North Devon","South West","43218","5448","12.6"
"86","E07000044","South Hams","South West","39884","4453","11.2"
"87","E07000045","Teignbridge","South West","58434","6354","10.9"
"88","E07000046","Torridge","South West","30242","3986","13.2"
"89","E07000047","West Devon","South West","24559","3106","12.6"
"90","E07000048","Christchurch","South West","23228","2017","8.6999999999999993"
"91","E07000049","East Dorset","South West","40680","3356","8.1999999999999993"
"92","E07000050","North Dorset","South West","31075","2992","9.6"
"93","E07000051","Purbeck","South West","21233","2070","9.6999999999999993"
"94","E07000052","West Dorset","South West","48080","4915","10.199999999999999"
"95","E07000053","Weymouth and Portland","South West","30902","3570","11.6"
"96","E07000061","Eastbourne","South East","48051","4672","9.6999999999999993"
"97","E07000062","Hastings","South East","43802","5828","13.3"
"98","E07000063","Lewes","South East","44940","3955","8.8000000000000007"
"99","E07000064","Rother","South East","43595","4265","9.8000000000000007"
"100","E07000065","Wealden","South East","66747","5529","8.3000000000000007"
"101","E07000066","Basildon","East of England","76994","6447","8.4"
"102","E07000067","Braintree","East of England","64648","5832","9"
"103","E07000068","Brentwood","East of England","32450","2719","8.4"
"104","E07000069","Castle Point","East of England","38617","3851","10"
"105","E07000070","Chelmsford","East of England","73793","6006","8.1"
"106","E07000071","Colchester","East of England","76080","7663","10.1"
"107","E07000072","Epping Forest","East of England","55168","4945","9"
"108","E07000073","Harlow","East of England","36715","2984","8.1"
"109","E07000074","Maldon","East of England","27349","2461","9"
"110","E07000075","Rochford","East of England","35578","3060","8.6"
"111","E07000076","Tendring","East of England","65874","7478","11.4"
"112","E07000077","Uttlesford","East of England","33228","3090","9.3000000000000007"
"113","E07000078","Cheltenham","South West","55121","5723","10.4"
"114","E07000079","Cotswold","South West","39391","4019","10.199999999999999"
"115","E07000080","Forest of Dean","South West","36965","4036","10.9"
"116","E07000081","Gloucester","South West","54588","5600","10.3"
"117","E07000082","Stroud","South West","51648","5117","9.9"
"118","E07000083","Tewkesbury","South West","38082","3349","8.8000000000000007"
"119","E07000084","Basingstoke and Deane","South East","74106","4849","6.5"
"120","E07000085","East Hampshire","South East","50425","3631","7.2"
"121","E07000086","Eastleigh","South East","55628","4029","7.2"
"122","E07000087","Fareham","South East","49636","3374","6.8"
"123","E07000088","Gosport","South East","37756","3083","8.1999999999999993"
"124","E07000089","Hart","South East","37927","2524","6.7"
"125","E07000090","Havant","South East","54637","4711","8.6"
