"","Table 2: Fuel poor households by administrative area, 2020 [Notes 3 and 4]","...2","...3","...4","...5","...6","...7"
"1",NA,NA,NA,NA,NA,NA,NA
"2","Area Codes","Area names",NA,NA,"Number of households","Number of households in fuel poverty","Proportion of households fuel poor (%)"
"3","E92000001","ENGLAND",NA,NA,"23868877","3158206","13.231481313511315"
"4","E12000001","NORTH EAST",NA,NA,"1197595","172828","14.431255975517601"
"5","E06000047",NA,"County Durham",NA,"237071","34928","14.73313901742516"
"6","E06000005",NA,"Darlington",NA,"49434","6626","13.403730226160132"
"7","E06000001",NA,"Hartlepool",NA,"42831","6257","14.608577899185168"
"8","E06000002",NA,"Middlesbrough",NA,"60599","10161","16.767603425799106"
"9","E06000057",NA,"Northumberland",NA,"146890","19905","13.550956498059771"
"10","E06000003",NA,"Redcar and Cleveland",NA,"63181","9031","14.293854165017963"
"11","E06000004",NA,"Stockton-on-Tees",NA,"83906","10816","12.890615688985294"
"12","E11000007",NA,"Tyne and Wear (Met County)",NA,"513683","75104","14.620690192200247"
"13","E08000037",NA,NA,"Gateshead","94587","13455","14.224999207079197"
"14","E08000021",NA,NA,"Newcastle upon Tyne","124137","20820","16.771792455110081"
"15","E08000022",NA,NA,"North Tyneside","96641","12000","12.417090054945623"
"16","E08000023",NA,NA,"South Tyneside","71288","10316","14.470878689260463"
"17","E08000024",NA,NA,"Sunderland","127030","18513","14.573722742659214"
"18","E12000002","NORTH WEST",NA,NA,"3225129","465325","14.428105046340784"
"19","E06000008",NA,"Blackburn with Darwen",NA,"61389","9603","15.64286761471925"
"20","E06000009",NA,"Blackpool",NA,"69080","11748","17.00636942675159"
"21","E06000049",NA,"Cheshire East",NA,"170956","18457","10.796345258429071"
"22","E06000050",NA,"Cheshire West and Chester",NA,"151676","18093","11.928716474590574"
"23","E06000006",NA,"Halton",NA,"57078","7865","13.779389607204177"
"24","E06000007",NA,"Warrington",NA,"91234","10293","11.281978209877897"
"25","E10000006",NA,"Cumbria",NA,"237830","33151","13.938947988058697"
"26","E07000026",NA,NA,"Allerdale","45275","6803","15.025952512424077"
"27","E07000027",NA,NA,"Barrow-in-Furness","33468","4958","14.814150830644198"
"28","E07000028",NA,NA,"Carlisle","51677","7372","14.265533989976198"
"29","E07000029",NA,NA,"Copeland","32781","4791","14.615173423629541"
"30","E07000030",NA,NA,"Eden","24667","3280","13.29711760651883"
"31","E07000031",NA,NA,"South Lakeland","49962","5947","11.903046315199552"
"32","E11000001",NA,"Greater Manchester (Met County)",NA,"1208302","181973","15.060225009972672"
"33","E08000001",NA,NA,"Bolton","124572","18250","14.650162155219471"
"34","E08000002",NA,NA,"Bury","83689","11035","13.185723332815543"
"35","E08000003",NA,NA,"Manchester","219112","44864","20.475373325057504"
"36","E08000004",NA,NA,"Oldham","96271","13867","14.404130007998257"
"37","E08000005",NA,NA,"Rochdale","93801","14330","15.27702263302097"
"38","E08000006",NA,NA,"Salford","110992","17004","15.320023064725385"
"39","E08000007",NA,NA,"Stockport","130876","15613","11.92961276322626"
"40","E08000008",NA,NA,"Tameside","101754","14379","14.131139807771683"
"41","E08000009",NA,NA,"Trafford","101237","12440","12.287997471280262"
"42","E08000010",NA,NA,"Wigan","145998","20191","13.829641501938383"
"43","E10000017",NA,"Lancashire",NA,"532268","72491","13.619266985804144"
"44","E07000117",NA,NA,"Burnley","40274","6396","15.881213686249193"
"45","E07000118",NA,NA,"Chorley","48185","5567","11.553387983812389"
"46","E07000119",NA,NA,"Fylde","37327","4339","11.624293406917245"
"47","E07000120",NA,NA,"Hyndburn","36824","5539","15.041820551814034"
"48","E07000121",NA,NA,"Lancaster","62096","9382","15.108863694923988"
"49","E07000122",NA,NA,"Pendle","40046","6614","16.516006592418719"
"50","E07000123",NA,NA,"Preston","61662","9182","14.89085660536473"
"51","E07000124",NA,NA,"Ribble Valley","25879","2995","11.573090150314927"
"52","E07000125",NA,NA,"Rossendale","31103","4537","14.587017329518053"
"53","E07000126",NA,NA,"South Ribble","49477","5211","10.532166461183984"
"54","E07000127",NA,NA,"West Lancashire","48662","6357","13.063581439316099"
"55","E07000128",NA,NA,"Wyre","50733","6372","12.559872272485364"
"56","E11000002",NA,"Merseyside (Met County)",NA,"645316","101651","15.752127639791977"
"57","E08000011",NA,NA,"Knowsley","65877","9820","14.906568301531642"
"58","E08000012",NA,NA,"Liverpool","221126","41297","18.675777610954842"
"59","E08000014",NA,NA,"Sefton","126536","17536","13.858506670038567"
"60","E08000013",NA,NA,"St. Helens","81289","11298","13.898559460689638"
"61","E08000015",NA,NA,"Wirral","150488","21700","14.41975439902185"
