"","Table 2: Fuel poor households by administrative area [Notes 3 and 4], 2021","...2","...3","...4","...5","...6","...7"
"1",NA,NA,NA,NA,NA,NA,NA
"2","Area Codes [Note 4]","Area names",NA,NA,"Number of households","Number of households in fuel poverty","Proportion of households fuel poor (%)"
"3","E92000001","ENGLAND",NA,NA,"24070861","3162752","13.139338887794667"
"4","E12000001","NORTH EAST",NA,NA,"1202496","168751","14.033393874075257"
"5","E06000047",NA,"County Durham",NA,"239995","35210","14.671138982062127"
"6","E06000005",NA,"Darlington",NA,"50028","7255","14.501878947789237"
"7","E06000001",NA,"Hartlepool",NA,"41885","5993","14.308224901516056"
"8","E06000002",NA,"Middlesbrough",NA,"61626","10244","16.622853990198941"
"9","E06000057",NA,"Northumberland",NA,"150253","20676","13.76079013397403"
"10","E06000003",NA,"Redcar and Cleveland",NA,"63059","9300","14.748093055709733"
"11","E06000004",NA,"Stockton-on-Tees",NA,"85685","10424","12.165489875707532"
"12","E11000007",NA,"Tyne and Wear (Met County)",NA,"509965","69649","13.657603953212474"
"13","E08000037",NA,NA,"Gateshead","91088","12157","13.346434217460038"
"14","E08000021",NA,NA,"Newcastle upon Tyne","125609","19128","15.22820816979675"
"15","E08000022",NA,NA,"North Tyneside","98369","11405","11.594099767203083"
"16","E08000023",NA,NA,"South Tyneside","69876","9690","13.867422290915336"
"17","E08000024",NA,NA,"Sunderland","125023","17269","13.812658470841367"
"18","E12000002","NORTH WEST",NA,NA,"3219948","468802","14.559303442167391"
"19","E06000008",NA,"Blackburn with Darwen",NA,"60004","10978","18.295446970201986"
"20","E06000009",NA,"Blackpool",NA,"66217","13404","20.242535904677048"
"21","E06000049",NA,"Cheshire East",NA,"178465","20760","11.632532989661838"
"22","E06000050",NA,"Cheshire West and Chester",NA,"158412","18705","11.807817589576548"
"23","E06000063",NA,"Cumberland",NA,"128063","18711","14.610777507945308"
"24","E06000006",NA,"Halton",NA,"57101","7097","12.428854135654367"
"25","E06000007",NA,"Warrington",NA,"92463","9868","10.672377058931682"
"26","E06000064",NA,"Westmorland and Furness",NA,"105747","15648","14.797582910153478"
"27","E11000001",NA,"Greater Manchester (Met County)",NA,"1203037","176855","14.700711615685968"
"28","E08000001",NA,NA,"Bolton","121321","18718","15.428491357638002"
"29","E08000002",NA,NA,"Bury","82389","11013","13.367075701853404"
"30","E08000003",NA,NA,"Manchester","219107","40064","18.285130096254342"
"31","E08000004",NA,NA,"Oldham","95175","15261","16.034672970843182"
"32","E08000005",NA,NA,"Rochdale","92125","14510","15.75033921302578"
"33","E08000006",NA,NA,"Salford","117540","15486","13.175089331291476"
"34","E08000007",NA,NA,"Stockport","129365","15843","12.246743709658718"
"35","E08000008",NA,NA,"Tameside","101617","14417","14.187586722694038"
"36","E08000009",NA,NA,"Trafford","98321","11621","11.819448541003448"
"37","E08000010",NA,NA,"Wigan","146077","19922","13.638012828850538"
"38","E10000017",NA,"Lancashire",NA,"536423","78472","14.628753800638675"
"39","E07000117",NA,NA,"Burnley","40699","7972","19.587704857613208"
"40","E07000118",NA,NA,"Chorley","51172","5690","11.119362151176425"
"41","E07000119",NA,NA,"Fylde","38383","4799","12.502930985071517"
"42","E07000120",NA,NA,"Hyndburn","35539","6614","18.610540532935648"
"43","E07000121",NA,NA,"Lancaster","61310","9446","15.406948295547219"
"44","E07000122",NA,NA,"Pendle","38885","7704","19.812266940979811"
"45","E07000123",NA,NA,"Preston","60897","9345","15.345583526282084"
"46","E07000124",NA,NA,"Ribble Valley","27312","3648","13.356766256590511"
"47","E07000125",NA,NA,"Rossendale","31194","4797","15.377957299480668"
"48","E07000126",NA,NA,"South Ribble","49653","4969","10.007451714901416"
"49","E07000127",NA,NA,"West Lancashire","49532","6492","13.106678510861666"
"50","E07000128",NA,NA,"Wyre","51847","6996","13.49354832487897"
"51","E11000002",NA,"Merseyside (Met County)",NA,"634016","98304","15.504971483369506"
