"Area.Codes","households","fuel_poor","proportion"
"E06000001",41294,8856,21.4462149464813
"E06000002",58444,14545,24.8870713845733
"E06000003",60909,12684,20.8245086932966
"E06000004",80899,15850,19.5923311783829
"E06000005",47668,9564,20.0637744398758
"E06000006",55196,10281,18.6263497354881
"E06000007",88182,13047,14.7955365040484
"E06000008",59367,12489,21.0369397139825
"E06000009",66718,15475,23.1946401271021
"E06000010",115252,23180,20.1124492416617
"E06000011",146478,20787,14.1912096014419
"E06000012",71380,13397,18.7685626225834
"E06000013",72351,11776,16.2762090365026
"E06000014",85528,13147,15.3715742213076
"E06000015",105205,20201,19.2015588612709
"E06000016",126770,28196,22.2418553285478
"E06000017",15444,2320,15.022015022015
"E06000018",129882,27711,21.3355199334781
"E06000019",81847,16123,19.6989504807751
"E06000020",69503,12244,17.6165057623412
"E06000021",112248,25162,22.4164350367044
"E06000022",77508,10819,13.9585591164783
"E06000023",192141,30235,15.7358398259611
"E06000024",93067,11489,12.3448698249648
"E06000025",113249,12477,11.0173158261883
"E06000026",115150,19824,17.2158054711246
"E06000027",62243,9849,15.8234660925727
"E06000030",93253,11952,12.8167458419568
"E06000031",77906,12023,15.4327009472955
"E06000032",78080,13467,17.2476946721311
"E06000033",78357,11608,14.8142476102965
"E06000034",65555,8231,12.5558691175349
"E06000035",112147,16609,14.8100261264234
"E06000036",48541,4621,9.51978739622175
"E06000037",65827,7164,10.8830722955626
"E06000038",66446,11540,17.3674863799175
"E06000039",53560,8624,16.101568334578
"E06000040",61590,7293,11.8412079883098
"E06000041",63834,6592,10.3267850988501
"E06000042",104273,11395,10.9280446520192
"E06000043",128229,21306,16.6155861778537
"E06000044",90169,16136,17.8952855194135
"E06000045",103800,17573,16.9296724470135
"E06000046",64445,10670,16.5567538210877
"E06000047",228622,46583,20.3755544085871
"E06000049",165188,26127,15.8165242027266
"E06000050",146577,24080,16.4282254378245
"E06000051",135084,25798,19.0977465873086
"E06000052",242696,45348,18.6851039984178
"E06000053",1052,238,22.6235741444867
"E06000054",204772,26902,13.1375383353193
"E06000055",67031,9874,14.7304978293625
"E06000056",109518,12836,11.7204477802736
"E06000057",141560,26517,18.7319864368466
"E06000058",175900,27604,15.6930073905628
"E06000059",167342,22747,13.5931206750248
"E06000060",212162,25458,11.9993212733666
"E06000061",136458,21274,15.5901449530258
