Area.Codes,households,fuel_poor,proportion
E06000001,42645,6268,14.69798023
E06000002,60318,9927,16.45845871
E06000003,62870,9031,14.3643837
E06000004,83510,10787,12.91686335
E06000005,49204,6854,13.92987167
E06000006,56233,7859,13.97522319
E06000007,89883,10361,11.52678233
E06000008,60504,9883,16.33511451
E06000009,68041,11023,16.20077016
E06000010,119733,23344,19.49640395
E06000011,152382,21177,13.89720175
E06000012,74239,12348,16.6331208
E06000013,75168,12050,16.03101459
E06000014,88898,11946,13.43781181
E06000015,109670,17023,15.52217199
E06000016,132344,25021,18.90591898
E06000017,16102,1883,11.69187357
E06000018,135580,24971,18.41822435
E06000019,84028,13849,16.48099282
E06000020,71336,11058,15.5011706
E06000021,115172,25037,21.73884767
E06000022,81129,8282,10.20825264
E06000023,200622,27508,13.71141156
E06000024,97431,8290,8.508149654
E06000025,118445,9402,7.938128754
E06000026,120391,14809,12.30097467
E06000027,65146,6842,10.50328653
E06000030,97673,9366,9.589162989
E06000031,80172,12145,15.14889705
E06000032,80287,12836,15.98800981
E06000033,80525,11858,14.72575605
E06000034,67416,8971,13.30756582
E06000035,114663,10168,8.867348288
E06000036,49677,2647,5.328631453
E06000037,67274,4218,6.269525549
E06000038,67961,6972,10.25912034
E06000039,54738,5085,9.289601529
E06000040,62957,3709,5.891132533
E06000041,65254,3036,4.651854653
E06000042,106654,6720,6.300458604
E06000043,130998,13670,10.43548014
E06000044,92144,9835,10.67323866
E06000045,106104,11323,10.6713978
E06000046,65861,5816,8.831047534
E06000047,235959,36479,15.4597894
E06000049,168372,18265,10.84792297
E06000050,149439,17800,11.91121461
E06000051,138460,22731,16.41721373
E06000052,253805,29011,11.43035433
E06000053,1107,130,11.71903611
E06000054,214350,20977,9.786253313
E06000055,68890,9551,13.86464124
E06000056,112472,12973,11.53440232
E06000057,146167,20561,14.06652511
E06000058,183610,18816,10.24792561
E06000059,175109,16217,9.261082193
E06000060,216950,14076,6.488337348
E06000061,142239,18456,12.97506201
E06000062,166588,19635,11.78641261
E07000008,50486,7506,14.86707504
E07000009,37304,5077,13.61039051
E07000010,43565,6860,15.74711732
E07000011,74808,8454,11.30100264
E07000012,64768,6651,10.26890633
E07000026,44660,7181,16.08031165
E07000027,32967,4686,14.21334755
E07000028,50955,7473,14.66658635
E07000029,32275,5053,15.65456128
E07000030,24309,3460,14.23436448
E07000031,49212,5860,11.90813554
E07000032,56377,7842,13.90939362
E07000033,35135,5685,16.18028201
E07000034,50185,7456,14.85776757
E07000035,33096,4451,13.44865014
E07000036,52240,6924,13.25483217
E07000037,41854,5478,13.08833631
E07000038,46261,6223,13.45229464
E07000039,41778,4897,11.72219182
E07000040,64942,6124,9.430452287
E07000041,54298,6414,11.8124049
E07000042,36079,4146,11.4912995
E07000043,43963,5053,11.49439723
E07000044,40597,3819,9.407850381
E07000045,59478,5863,9.857965068
E07000046,30763,3623,11.77767455
E07000047,25010,2861,11.43943967
E07000061,48630,4102,8.434979441
E07000062,44311,4761,10.74539045
E07000063,45481,3204,7.044394371
E07000064,44106,3792,8.598100014
E07000065,67567,4507,6.669770312
E07000066,78458,9239,11.77621433
E07000067,65848,8576,13.02402772
E07000068,33069,3345,10.11573905
E07000069,39359,4485,11.39495944
E07000070,75179,7931,10.54985319
E07000071,77572,9889,12.74790271
E07000072,56254,6307,11.2122443
E07000073,37401,4967,13.27984644
E07000074,27869,3368,12.08356083
E07000075,36255,3610,9.957353772
E07000076,67144,10215,15.21308205
E07000077,33867,4011,11.84282874
E07000078,56113,6151,10.96243536
E07000079,40114,4042,10.07745685
E07000080,37627,4777,12.69522943
E07000081,55588,5773,10.38528634
E07000082,52539,5320,10.1252234
E07000083,38790,3237,8.345103473
E07000084,75020,4683,6.241836154
E07000085,51044,3036,5.948384602
E07000086,56308,3390,6.020390335
E07000087,50236,2676,5.326211632
E07000088,38215,2931,7.668459847
E07000089,38395,1824,4.750457674
E07000090,55280,4105,7.42586705
E07000091,82935,5085,6.131237819
E07000092,39418,3029,7.683219414
E07000093,51394,3290,6.4022016
E07000094,50582,3295,6.514136837
E07000095,40599,4269,10.51626412
E07000096,64610,7068,10.93941134
E07000098,42914,4520,10.53197353
E07000099,57680,6956,12.05961261
E07000102,37918,4037,10.64683168
E07000103,39453,5396,13.67738574
E07000105,51634,3929,7.609244933
E07000106,65602,5699,8.68699384
E07000107,43292,3219,7.436258476
E07000108,51976,5126,9.861991546
E07000109,43668,4088,9.361616946
E07000110,68469,5277,7.707458963
E07000111,50737,3370,6.641867217
E07000112,50959,4691,9.205674544
E07000113,59997,5432,9.053219714
E07000114,64157,6743,10.50993211
E07000115,51981,3600,6.925607433
E07000116,50814,4119,8.105874206
E07000117,39670,6482,16.33943353
E07000118,47473,5613,11.82383126
E07000119,36781,4101,11.15020881
E07000120,36271,5620,15.49468507
E07000121,61141,8835,14.44979479
E07000122,39460,6792,17.21111452
E07000123,60749,9145,15.05403175
E07000124,25463,2967,11.65139758
E07000125,30654,4531,14.78199951
E07000126,48730,5220,10.71224548
E07000127,47944,6266,13.06865732
E07000128,49967,5973,11.95383548
E07000129,41491,3992,9.622033675
E07000130,71430,8415,11.78138599
E07000131,37494,3611,9.630369688
E07000132,48696,5544,11.38574327
E07000133,23061,2862,12.40959222
E07000134,41941,5365,12.7923773
E07000135,23030,2340,10.1596541
E07000136,29178,4758,16.30783864
E07000137,65476,9964,15.21734157
E07000138,42754,6543,15.30349708
E07000139,49191,5837,11.86612518
E07000140,39908,5689,14.25479375
E07000141,61485,7421,12.06936557
E07000142,41192,5910,14.34847716
E07000143,58965,8854,15.01577894
E07000144,57611,6536,11.34489479
E07000145,45472,7422,16.32299838
E07000146,67915,11473,16.89256699
E07000147,49840,7836,15.72135079
E07000148,64957,12129,18.6722871
E07000149,57082,7542,13.2127202
E07000163,26195,4009,15.30546444
E07000164,40720,5747,14.11466195
E07000165,71628,9181,12.81826546
E07000166,21636,3503,16.18923416
E07000167,24145,3879,16.06446253
E07000168,52640,8790,16.69825492
E07000169,36812,4839,13.14411072
E07000170,54566,8270,15.15645323
E07000171,51224,7619,14.8744827
E07000172,50344,6196,12.30760169
E07000173,53002,6065,11.44270945
E07000174,48239,7392,15.32427702
E07000175,52387,7241,13.82199141
E07000176,49271,4837,9.817267027
E07000177,61328,4411,7.192164771
E07000178,59850,5870,9.808304545
E07000179,58520,3734,6.380025177
E07000180,53430,3455,6.466079459
E07000181,46819,3197,6.828234684
E07000187,50896,5334,10.47939078
E07000188,53755,5792,10.77532879
E07000189,76708,8412,10.96672474
E07000192,43418,6948,16.00318427
E07000193,50487,8432,16.70065607
