Area Codes,households,fuel_poor,proportion
E06000001,42831,6257,14.6085779
E06000002,60599,10161,16.76760343
E06000003,63181,9031,14.29385417
E06000004,83906,10816,12.89061569
E06000005,49434,6626,13.40373023
E06000006,57078,7865,13.77938961
E06000007,91234,10293,11.28197821
E06000008,61389,9603,15.64286761
E06000009,69080,11748,17.00636943
E06000010,121054,25209,20.82459068
E06000011,154049,22581,14.658323
E06000012,75042,13353,17.79403534
E06000013,75977,12385,16.30098582
E06000014,89857,13172,14.65884683
E06000015,109742,18008,16.40939658
E06000016,132444,25286,19.09184259
E06000017,16109,1912,11.86914147
E06000018,135676,27954,20.60349657
E06000019,84842,14145,16.67216709
E06000020,72015,11526,16.00499896
E06000021,116266,25696,22.10104416
E06000022,81839,9179,11.21592395
E06000023,202272,29045,14.35937747
E06000024,98270,9178,9.339574641
E06000025,119415,9972,8.35070971
E06000026,121386,16866,13.89451831
E06000027,65727,8157,12.41042494
E06000030,98527,9622,9.765850985
E06000031,80904,12065,14.91273608
E06000032,80984,13255,16.3674306
E06000033,81223,12177,14.9920589
E06000034,67998,9103,13.38715845
E06000035,115342,11840,10.26512459
E06000036,49966,3025,6.054116799
E06000037,67665,4533,6.699179783
E06000038,68353,7498,10.96952584
E06000039,55042,5180,9.41099524
E06000040,63322,4069,6.425886738
E06000041,65656,3436,5.233337395
E06000042,107294,7802,7.27160885
E06000043,131769,15814,12.00130531
E06000044,92658,11544,12.45871916
E06000045,106728,13393,12.54872198
E06000046,66241,7303,11.02489395
E06000047,237071,34928,14.73313902
E06000049,170956,18457,10.79634526
E06000050,151676,18093,11.92871647
E06000051,139707,23045,16.49523646
E06000052,255894,32367,12.64859668
E06000053,1119,131,11.70688114
E06000054,216167,21724,10.04963755
E06000055,69491,9598,13.81186053
E06000056,113439,12865,11.34089687
E06000057,146890,19905,13.5509565
E06000058,185047,21092,11.39818533
E06000059,176586,17998,10.19220097
E06000060,218217,15939,7.304197198
E06000061,142395,18314,12.86140665
E06000062,166718,19857,11.91053156
E07000008,50953,7435,14.59187879
E07000009,37617,4760,12.65385331
E07000010,43906,6731,15.33047875
E07000011,75447,8265,10.95470993
E07000012,65338,6411,9.812054241
E07000026,45275,6803,15.02595251
E07000027,33468,4958,14.81415083
E07000028,51677,7372,14.26553399
E07000029,32781,4791,14.61517342
E07000030,24667,3280,13.29711761
E07000031,49962,5947,11.90304632
E07000032,56435,7860,13.92752724
E07000033,35168,5710,16.23635123
E07000034,50234,7939,15.80403711
E07000035,33135,4454,13.44197978
E07000036,52300,7064,13.50669216
E07000037,41877,5657,13.50860854
E07000038,46328,6429,13.87713694
E07000039,41826,4874,11.65303878
E07000040,65473,6948,10.612008
E07000041,54748,7298,13.33016731
E07000042,36374,4295,11.80788475
E07000043,44316,5464,12.32963264
E07000044,40948,4418,10.78929374
E07000045,59981,6564,10.94346543
E07000046,31029,3979,12.82348771
E07000047,25208,3154,12.51190098
E07000061,48924,5040,10.30169242
E07000062,44577,5756,12.9124885
E07000063,45743,3935,8.602409112
E07000064,44359,4661,10.50745057
E07000065,67940,5531,8.141006771
E07000066,79115,9728,12.29602477
E07000067,66413,8601,12.95077771
E07000068,33350,3348,10.03898051
E07000069,39715,4519,11.37857233
E07000070,75831,8009,10.56164365
E07000071,78280,10465,13.36867655
E07000072,56756,6327,11.14772006
E07000073,37742,5294,14.02681363
E07000074,28112,3414,12.14428002
E07000075,36587,3604,9.850493345
E07000076,67749,11166,16.48142408
E07000077,34172,3933,11.50942292
E07000078,56585,6463,11.42175488
E07000079,40481,4188,10.34559423
E07000080,37952,4747,12.50790472
E07000081,56068,6065,10.81722194
E07000082,52972,5628,10.62448086
E07000083,39116,3448,8.81480724
E07000084,75464,5196,6.885402311
E07000085,51352,3528,6.870229008
E07000086,56644,3984,7.033401596
E07000087,50526,3232,6.396706646
E07000088,38440,3487,9.071279917
E07000089,38629,2078,5.379378187
E07000090,55593,4980,8.957962333
E07000091,83387,6216,7.454399367
E07000092,39675,3239,8.163831128
E07000093,51726,3753,7.255538801
E07000094,50887,3996,7.852693222
E07000095,40958,4190,10.2299917
E07000096,65156,7216,11.07495856
E07000098,43286,4641,10.72171141
E07000099,58167,7046,12.11339763
E07000102,38255,4159,10.87178147
E07000103,39771,5035,12.65997838
E07000105,51937,4527,8.716329399
E07000106,65991,7164,10.85602582
E07000107,43549,3644,8.367585938
E07000108,52270,5929,11.34302659
E07000109,43928,4601,10.47395738
E07000110,68870,5877,8.533468854
E07000111,51064,3882,7.602224659
E07000112,51244,5539,10.80907033
E07000113,60346,6085,10.08351838
E07000114,64532,8247,12.77970619
E07000115,52264,4051,7.751033216
E07000116,51093,4555,8.915115574
E07000117,40274,6396,15.88121369
E07000118,48185,5567,11.55338798
E07000119,37327,4339,11.62429341
E07000120,36824,5539,15.04182055
E07000121,62096,9382,15.10886369
E07000122,40046,6614,16.51600659
E07000123,61662,9182,14.89085661
E07000124,25879,2995,11.57309015
E07000125,31103,4537,14.58701733
E07000126,49477,5211,10.53216646
E07000127,48662,6357,13.06358144
E07000128,50733,6372,12.55987227
E07000129,41525,4005,9.644792294
E07000130,71531,8991,12.56937552
E07000131,37513,3634,9.6873084
E07000132,48746,5443,11.16604439
E07000133,23090,2793,12.09614552
E07000134,41987,5205,12.39669421
E07000135,23045,2425,10.52289
E07000136,29204,4529,15.50814957
E07000137,65545,10220,15.59234114
E07000138,42774,7187,16.80226306
E07000139,49211,5959,12.1090813
E07000140,39946,5350,13.39308066
E07000141,61553,7569,12.2967199
E07000142,41253,6058,14.68499261
E07000143,59461,8664,14.57089521
E07000144,58117,6748,11.61106045
E07000145,45868,7863,17.14267027
E07000146,68509,11380,16.61095622
E07000147,50307,8206,16.31184527
E07000148,65541,12827,19.57095559
E07000149,57603,7486,12.99585091
E07000163,26500,4160,15.69811321
E07000164,41194,5946,14.43414089
E07000165,72433,9448,13.04377839
E07000166,21884,3552,16.23103637
E07000167,24444,3938,16.11029291
E07000168,53227,9951,18.69539895
E07000169,37233,4799,12.88910375
E07000170,54617,8466,15.50066829
E07000171,51265,7670,14.96147469
E07000172,50377,6496,12.89477341
E07000173,53041,6318,11.91154013
E07000174,48261,7677,15.9072543
E07000175,52450,7390,14.08960915
E07000176,49328,5032,10.20110282
E07000177,61676,4826,7.824761658
E07000178,60193,6651,11.04945758
E07000179,58865,4129,7.01435488
E07000180,53758,3809,7.085457048
E07000181,47096,3446,7.316969594
E07000187,51304,5692,11.09465149
E07000188,54216,6198,11.43204958
