"","LA.Code","households","fuel_poor","proportion"
"1","E06000001",42229,4274,10.1210068909991
"2","E06000002",59726,7092,11.8742256303787
"3","E06000003",62277,6385,10.2525812097564
"4","E06000004",82686,7474,9.03901506905643
"5","E06000005",48726,4402,9.03419119156097
"6","E06000006",55796,6085,10.9057996989031
"7","E06000007",89154,8110,9.09661933283981
"8","E06000008",60022,8793,14.6496284695612
"9","E06000009",67472,10280,15.2359497272943
"10","E06000010",117714,12445,10.5722343986272
"11","E06000011",149715,14027,9.36913468924289
"12","E06000012",72939,7380,10.1180438448567
"13","E06000013",73893,7222,9.77359154453061
"14","E06000014",87374,7408,8.47849474672099
"15","E06000015",108475,12611,11.6257202120304
"16","E06000016",130856,19078,14.5793849727945
"17","E06000017",15928,1744,10.9492717227524
"18","E06000018",134077,18666,13.921850876735
"19","E06000019",83106,10682,12.8534642504753
"20","E06000020",70543,6607,9.36591865954099
"21","E06000021",113939,14143,12.4127822782366
"22","E06000022",80865,7335,9.07067334446299
"23","E06000023",199974,19572,9.7872723454049
"24","E06000024",97122,7343,7.56059389221804
"25","E06000025",118051,7928,6.71574150155441
"26","E06000026",120006,12418,10.3478159425362
"27","E06000027",64909,6467,9.96317922013896
"28","E06000030",97316,6651,6.83443626947265
"29","E06000031",79276,7547,9.51990514153085
"30","E06000032",79418,9219,11.6081996524717
"31","E06000033",79656,7409,9.30124535502661
"32","E06000034",66659,5815,8.72350320286833
"33","E06000035",113834,10291,9.04035701108632
"34","E06000036",49285,2544,5.16181393933245
"35","E06000037",66770,4401,6.59128351055863
"36","E06000038",67451,6056,8.97836948303213
"37","E06000039",54341,4815,8.86071290554094
"38","E06000040",62509,3829,6.12551792541874
"39","E06000041",64764,3498,5.40114878636279
"40","E06000042",105850,6290,5.94237128011337
"41","E06000043",130091,14575,11.2036958744264
"42","E06000044",91464,9859,10.7791043470655
"43","E06000045",105322,10964,10.4099808207212
"44","E06000046",65398,7310,11.1777118566317
"45","E06000047",233658,22919,9.80878035419288
"47","E06000049",167004,16441,9.84467437905679
"48","E06000050",148163,15769,10.6430080384441
"49","E06000051",137012,16826,12.2806761451552
"50","E06000052",252948,31826,12.5820326707466
"51","E06000053",1104,231,20.9239130434783
"52","E06000054",213598,17540,8.21168737534996
"53","E06000055",68164,6900,10.1226453846605
"54","E06000056",111290,9307,8.36283583430677
"46","E06000057",144722,14182,9.79947761915949
"55","E06000058",183033,14902,8.14170122327668
"56","E06000059",174556,15286,8.75707509337978
"179","E06000060",215328,15035,6.98237108039828
"177","E06000061",140748,13478,9.57597976525421
"178","E06000062",164776,15192,9.21978928970238
"61","E07000008",49951,5522,11.0548337370623
"62","E07000009",36914,3661,9.91764642141193
"63","E07000010",43134,4660,10.8035424491121
"64","E07000011",73996,6242,8.43559111303314
"65","E07000012",64070,5324,8.30966130794443
"66","E07000026",44283,6091,13.7547139985999
"67","E07000027",32698,4699,14.3709095357514
"68","E07000028",50540,6077,12.0241392956074
"69","E07000029",32006,4350,13.5912016496907
"70","E07000030",24110,3536,14.6661136457901
"71","E07000031",48798,6123,12.5476453953031
"72","E07000032",55791,5867,10.5160330519259
"73","E07000033",34761,3754,10.7994591640056
