LA Code,households,fuel_poor,proportion
E06000001,41844,5291,12.64458464773922
E06000002,59163,9106,15.391376366986123
E06000003,61674,7461,12.097480299640043
E06000004,81906,9219,11.255585671379386
E06000005,48267,5883,12.18845173721176
E06000006,55763,6594,11.82504528092104
E06000007,89105,8776,9.849054486280231
E06000008,59983,9895,16.496340629845122
E06000009,67444,11787,17.476721428147794
E06000010,116322,13932,11.977098055397947
E06000011,147919,12527,8.468824153759828
E06000012,72075,8255,11.453347207769685
E06000013,73013,6663,9.125772122772657
E06000014,86346,7697,8.914136149908508
E06000015,107351,11617,10.821510745125803
E06000016,129468,17978,13.886056786232892
E06000017,15763,1264,8.018778151367126
E06000018,132647,16722,12.60639139973011
E06000019,82202,9990,12.152988978370356
E06000020,69808,7700,11.030254412101764
E06000021,112735,16548,14.678671220117975
E06000022,79693,8657,10.862936518891244
E06000023,197240,23015,11.668525654025553
E06000024,95697,9111,9.520674629298725
E06000025,116352,9525,8.186365511551156
E06000026,118270,15419,13.037118457766129
E06000027,63985,8060,12.596702352113775
E06000030,95918,8729,9.100481661419128
E06000031,78629,8990,11.43344058807819
E06000032,78769,10972,13.929337683606494
E06000033,79057,9017,11.405694625396865
E06000034,66141,6005,9.079088613719176
E06000035,113307,11661,10.291508909423072
E06000036,49052,2826,5.761232977248635
E06000037,66481,4781,7.191528406612416
E06000038,67112,7290,10.862438908093933
E06000039,54074,5462,10.100972741058548
E06000040,62214,4876,7.837464236345518
E06000041,64460,4298,6.667700899782811
E06000042,105356,7288,6.91749876608831
E06000043,129473,15125,11.681972303105667
E06000044,91044,10978,12.057906067395985
E06000045,104805,12022,11.470826773531797
E06000046,65083,7155,10.993654256871995
E06000047,231517,27309,11.795678071156763
E06000048,143347,15883,11.080106315444342
E06000049,166922,17564,10.522279867243384
E06000050,148106,16179,10.923932858898358
E06000051,135638,16013,11.805688671316297
E06000052,249359,32883,13.187011497479537
E06000053,1084,135,12.453874538745389
E06000054,210529,19540,9.281381662383804
E06000055,67613,7495,11.085146347595877
E06000056,110439,9314,8.433614936752415
E06000058,180507,19201,10.637260604851889
E06000059,171970,16903,9.829039948828285
E07000004,74235,5624,7.575941267596148
E07000005,39421,3195,8.1048172293955
E07000006,28241,2192,7.761764810027974
E07000007,72397,6139,8.47963313396964
E07000008,49543,6075,12.262075368871486
E07000009,36626,3030,8.272811663845356
E07000010,42826,4345,10.145705879605847
E07000011,73404,5961,8.120810854994279
E07000012,63568,5073,7.980430405235339
E07000026,44269,5287,11.942894576340104
E07000027,32684,4920,15.05323705788765
E07000028,50518,6113,12.10063739657152
E07000029,31995,3756,11.73933427097984
E07000030,24106,2880,11.94723305401145
E07000031,48769,5296,10.859357378662676
E07000032,55217,4874,8.826991687342666
E07000033,34411,3184,9.252855191653833
E07000034,49140,4612,9.385429385429385
E07000035,32373,2878,8.890124486454761
E07000036,51155,4706,9.199491740787803
E07000037,40968,3465,8.457820738137082
E07000038,45288,3793,8.37528705175764
E07000039,40929,3226,7.881941899386743
E07000040,63839,6547,10.255486458121212
E07000041,53338,6596,12.366417938430388
E07000042,35459,3982,11.229871118756876
E07000043,43218,5448,12.605858669998613
E07000044,39884,4453,11.164878146625213
E07000045,58434,6354,10.8738063456207
E07000046,30242,3986,13.180345215263541
E07000047,24559,3106,12.647094751414961
E07000061,48051,4672,9.723002643025119
E07000062,43802,5828,13.3053285238117
E07000063,44940,3955,8.800623052959502
E07000064,43595,4265,9.783232022020874
E07000065,66747,5529,8.283518360375746
E07000066,76994,6447,8.373379743876146
E07000067,64648,5832,9.021160747432248
E07000068,32450,2719,8.37904468412943
E07000069,38617,3851,9.972291995753165
E07000070,73793,6006,8.138983372406598
E07000071,76080,7663,10.072292323869611
E07000072,55168,4945,8.963529582366588
E07000073,36715,2984,8.127468337191884
E07000074,27349,2461,8.998500859263594
E07000075,35578,3060,8.600820731912979
E07000076,65874,7478,11.35197498254243
E07000077,33228,3090,9.29938605994944
E07000078,55121,5723,10.382612797300485
E07000079,39391,4019,10.202838211774264
E07000080,36965,4036,10.918436358717706
E07000081,54588,5600,10.258664908038396
E07000082,51648,5117,9.907450433705081
E07000083,38082,3349,8.794180977889816
E07000084,74106,4849,6.543329824845491
E07000085,50425,3631,7.20079325731284
E07000086,55628,4029,7.242755446897246
E07000087,49636,3374,6.7974856958659045
E07000088,37756,3083,8.16558957516686
E07000089,37927,2524,6.654889656445276
E07000090,54637,4711,8.62236213554917
E07000091,81906,6562,8.011623080116232
E07000092,38922,2936,7.543291711628385
