,"Table 2: Fuel Poverty by Administrative Area, 2019",...2,...3,...4,...5,...6,...7
1,NA,NA,NA,NA,NA,NA,NA
2,Area Codes,Area name,NA,NA,Number of households1,Number of households in fuel poverty1,Proportion of households fuel poor (%)
3,E92000001,ENGLAND,NA,NA,23661751,3175979,13.42241747
4,E12000001,NORTH EAST,NA,NA,1191912,176869,14.83909886
5,E06000047,NA,County Durham,NA,235959,36620,15.51964536
6,E06000005,NA,Darlington,NA,49204,6881,13.9846354
7,E06000001,NA,Hartlepool,NA,42645,6292,14.75436745
8,E06000002,NA,Middlesbrough,NA,60318,9966,16.52243112
9,E06000057,NA,Northumberland,NA,146167,20640,14.12083439
10,E06000003,NA,Redcar and Cleveland,NA,62870,9066,14.42023223
11,E06000004,NA,Stockton-on-Tees,NA,83510,10829,12.9673093
12,E11000007,NA,Tyne and Wear (Met County),NA,511239,76575,14.97831738
13,E08000037,NA,NA,Gateshead,94124,14183,15.06842038
14,E08000021,NA,NA,Newcastle upon Tyne,123566,20222,16.36534322
15,E08000022,NA,NA,North Tyneside,96192,12423,12.91479541
16,E08000023,NA,NA,South Tyneside,70930,10457,14.74270407
17,E08000024,NA,NA,Sunderland,126427,19290,15.25781676
18,E12000002,NORTH WEST,NA,NA,3177487,461364,14.51977616
19,E06000008,NA,Blackburn with Darwen,NA,60504,9922,16.39891577
20,E06000009,NA,Blackpool,NA,68041,11066,16.26372334
21,E06000049,NA,Cheshire East,NA,168372,18336,10.89017176
22,E06000050,NA,Cheshire West and Chester,NA,149439,17869,11.9573873
23,E06000006,NA,Halton,NA,56233,7889,14.0291288
24,E06000007,NA,Warrington,NA,89883,10401,11.57170989
25,E10000006,NA,Cumbria,NA,234378,33844,14.43992184
26,E07000026,NA,NA,Allerdale,44660,7209,16.14196149
27,E07000027,NA,NA,Barrow-in-Furness,32967,4704,14.26881427
28,E07000028,NA,NA,Carlisle,50955,7502,14.72279462
29,E07000029,NA,NA,Copeland,32275,5072,15.71494965
30,E07000030,NA,NA,Eden,24309,3474,14.29100333
31,E07000031,NA,NA,South Lakeland,49212,5883,11.95440137
32,E11000001,NA,Greater Manchester (Met County),NA,1190542,181588,15.25254884
33,E08000001,NA,NA,Bolton,122724,18110,14.75668981
34,E08000002,NA,NA,Bury,82464,11013,13.35491851
35,E08000003,NA,NA,Manchester,215977,42845,19.8377605
36,E08000004,NA,NA,Oldham,94858,14439,15.2216998
37,E08000005,NA,NA,Rochdale,92405,14537,15.73183269
38,E08000006,NA,NA,Salford,109335,17068,15.61073764
39,E08000007,NA,NA,Stockport,128929,15665,12.15009812
40,E08000008,NA,NA,Tameside,100257,14697,14.65932553
41,E08000009,NA,NA,Trafford,99754,12762,12.79347194
42,E08000010,NA,NA,Wigan,143839,20452,14.21867505
43,E10000017,NA,Lancashire,NA,524303,71822,13.69856743
44,E07000117,NA,NA,Burnley,39670,6507,16.40282329
45,E07000118,NA,NA,Chorley,47473,5635,11.869905
46,E07000119,NA,NA,Fylde,36781,4117,11.19327914
47,E07000120,NA,NA,Hyndburn,36271,5642,15.55512669
48,E07000121,NA,NA,Lancaster,61141,8869,14.50581443
49,E07000122,NA,NA,Pendle,39460,6818,17.27825646
50,E07000123,NA,NA,Preston,60749,9181,15.11300598
51,E07000124,NA,NA,Ribble Valley,25463,2978,11.69540117
52,E07000125,NA,NA,Rossendale,30654,4549,14.83982515
53,E07000126,NA,NA,South Ribble,48730,5240,10.75312949
54,E07000127,NA,NA,West Lancashire,47944,6290,13.11947272
55,E07000128,NA,NA,Wyre,49967,5996,11.99991995
56,E11000002,NA,Merseyside (Met County),NA,635792,98627,15.5124632
57,E08000011,NA,NA,Knowsley,64896,10049,15.48477564
58,E08000012,NA,NA,Liverpool,217880,39527,18.1416376
59,E08000014,NA,NA,Sefton,124658,17160,13.76566285
60,E08000013,NA,NA,St. Helens,80065,11333,14.15474927
61,E08000015,NA,NA,Wirral,148293,20558,13.86309536
62,E12000003,YORKSHIRE AND THE HUMBER,NA,NA,2368747,396771,16.75024813
63,E06000011,NA,East Riding of Yorkshire,NA,152382,21259,13.95112284
64,E06000010,NA,"Kingston upon Hull, City of",NA,119733,23434,19.57188077
65,E06000012,NA,North East Lincolnshire,NA,74239,12396,16.69742319
66,E06000013,NA,North Lincolnshire,NA,75168,12097,16.09328438
67,E06000014,NA,York,NA,88898,11992,13.48961731
68,E10000023,NA,North Yorkshire,NA,273776,40103,14.64810648
69,E07000163,NA,NA,Craven,26195,4025,15.36552777
70,E07000164,NA,NA,Hambleton,40720,5770,14.16994106
71,E07000165,NA,NA,Harrogate,71628,9217,12.8678729
72,E07000166,NA,NA,Richmondshire,21636,3516,16.25069329
73,E07000167,NA,NA,Ryedale,24145,3894,16.12756264
74,E07000168,NA,NA,Scarborough,52640,8824,16.76291793
75,E07000169,NA,NA,Selby,36812,4857,13.19406715
76,E11000003,NA,South Yorkshire (Met County),NA,602413,106393,17.66113945
77,E08000016,NA,NA,Barnsley,107135,19971,18.640967
78,E08000017,NA,NA,Doncaster,134672,23941,17.77726625
79,E08000018,NA,NA,Rotherham,115456,19680,17.04545455
80,E08000019,NA,NA,Sheffield,245150,42801,17.45910667
81,E11000006,NA,West Yorkshire (Met County),NA,982138,169097,17.21723424
82,E08000032,NA,NA,Bradford,212068,38925,18.35496162
83,E08000033,NA,NA,Calderdale,94196,15729,16.69816128
84,E08000034,NA,NA,Kirklees,184520,31027,16.81497941
85,E08000035,NA,NA,Leeds,341890,57492,16.81593495
86,E08000036,NA,NA,Wakefield,149464,25924,17.34464486
87,E12000004,EAST MIDLANDS,NA,NA,2034809,282909,13.90346711
