Area Codes,households,fuel_poor,proportion
E06000001,42831,6257,14.608577899185168
E06000002,60599,10161,16.767603425799106
E06000003,63181,9031,14.293854165017963
E06000004,83906,10816,12.890615688985294
E06000005,49434,6626,13.403730226160132
E06000006,57078,7865,13.779389607204177
E06000007,91234,10293,11.281978209877897
E06000008,61389,9603,15.64286761471925
E06000009,69080,11748,17.00636942675159
E06000010,121054,25209,20.824590678540154
E06000011,154049,22581,14.65832300112302
E06000012,75042,13353,17.794035340209483
E06000013,75977,12385,16.300985824657463
E06000014,89857,13172,14.658846834414682
E06000015,109742,18008,16.40939658471688
E06000016,132444,25286,19.091842590075807
E06000017,16109,1912,11.869141473710348
E06000018,135676,27954,20.603496565346855
E06000019,84842,14145,16.67216708705594
E06000020,72015,11526,16.004998958550303
E06000021,116266,25696,22.101044157363287
E06000022,81839,9179,11.215923948239837
E06000023,202272,29045,14.359377471919
E06000024,98270,9178,9.339574641294393
E06000025,119415,9972,8.350709709835447
E06000026,121386,16866,13.894518313479315
E06000027,65727,8157,12.41042493952257
E06000030,98527,9622,9.765850985009186
E06000031,80904,12065,14.912736082270344
E06000032,80984,13255,16.367430603576015
E06000033,81223,12177,14.992058899572779
E06000034,67998,9103,13.387158445836642
E06000035,115342,11840,10.265124586013767
E06000036,49966,3025,6.054116799423608
E06000037,67665,4533,6.69917978275327
E06000038,68353,7498,10.969525843781545
E06000039,55042,5180,9.410995239998547
E06000040,63322,4069,6.425886737626733
E06000041,65656,3436,5.233337394906787
E06000042,107294,7802,7.271608850448301
E06000043,131769,15814,12.001305314603588
E06000044,92658,11544,12.458719160784822
E06000045,106728,13393,12.548721984858707
E06000046,66241,7303,11.024893947857068
E06000047,237071,34928,14.73313901742516
E06000049,170956,18457,10.79634525842907
E06000050,151676,18093,11.928716474590574
E06000051,139707,23045,16.49523645916096
E06000052,255894,32367,12.648596684564703
E06000053,1119,131,11.706881143878462
E06000054,216167,21724,10.049637548747034
E06000055,69491,9598,13.811860528701558
E06000056,113439,12865,11.340896869683267
E06000057,146890,19905,13.55095649805977
E06000058,185047,21092,11.39818532589018
E06000059,176586,17998,10.192200967234095
E06000060,218217,15939,7.3041971982017895
E06000061,142395,18314,12.861406650514414
E06000062,166718,19857,11.910531556280665
E07000008,50953,7435,14.59187879025769
E07000009,37617,4760,12.653853311003004
E07000010,43906,6731,15.330478750056939
E07000011,75447,8265,10.954709928824208
E07000012,65338,6411,9.812054241023601
E07000026,45275,6803,15.025952512424077
E07000027,33468,4958,14.814150830644198
E07000028,51677,7372,14.265533989976198
E07000029,32781,4791,14.61517342362954
E07000030,24667,3280,13.29711760651883
E07000031,49962,5947,11.903046315199552
E07000032,56435,7860,13.927527243731728
E07000033,35168,5710,16.236351228389445
E07000034,50234,7939,15.804037106342317
E07000035,33135,4454,13.44197977968915
E07000036,52300,7064,13.506692160611856
E07000037,41877,5657,13.508608544069537
E07000038,46328,6429,13.877136936625798
E07000039,41826,4874,11.653038779706403
E07000040,65473,6948,10.61200800329907
E07000041,54748,7298,13.330167312047928
E07000042,36374,4295,11.807884752845439
E07000043,44316,5464,12.329632638324759
E07000044,40948,4418,10.789293738399921
E07000045,59981,6564,10.943465430719728
E07000046,31029,3979,12.823487705050116
E07000047,25208,3154,12.51190098381466
E07000061,48924,5040,10.30169242089772
E07000062,44577,5756,12.912488503039684
E07000063,45743,3935,8.602409111776666
E07000064,44359,4661,10.507450573727992
E07000065,67940,5531,8.141006770680011
E07000066,79115,9728,12.296024774063072
E07000067,66413,8601,12.950777709183441
E07000068,33350,3348,10.038980509745127
E07000069,39715,4519,11.37857232783583
E07000070,75831,8009,10.561643654969604
E07000071,78280,10465,13.368676545733265
E07000072,56756,6327,11.14772006483896
E07000073,37742,5294,14.026813629378413
E07000074,28112,3414,12.144280022766079
E07000075,36587,3604,9.850493344630607
E07000076,67749,11166,16.481424080060222
E07000077,34172,3933,11.509422919349173
E07000078,56585,6463,11.421754882035875
E07000079,40481,4188,10.345594229391567
E07000080,37952,4747,12.507904721753793
E07000081,56068,6065,10.817221944781338
E07000082,52972,5628,10.624480857811674
E07000083,39116,3448,8.81480724000409
E07000084,75464,5196,6.885402311035725
E07000085,51352,3528,6.870229007633588
E07000086,56644,3984,7.033401595932491
E07000087,50526,3232,6.396706646083204
E07000088,38440,3487,9.071279916753381
E07000089,38629,2078,5.379378187372182
E07000090,55593,4980,8.957962333387297
E07000091,83387,6216,7.454399366807777
E07000092,39675,3239,8.163831127914303
E07000093,51726,3753,7.255538800603178
E07000094,50887,3996,7.852693222237507
E07000095,40958,4190,10.22999169881342
E07000096,65156,7216,11.07495856099208
E07000098,43286,4641,10.721711407845493
E07000099,58167,7046,12.113397630959135
E07000102,38255,4159,10.871781466474971
E07000103,39771,5035,12.659978376203767
E07000105,51937,4527,8.716329399079655
E07000106,65991,7164,10.856025821702959
E07000107,43549,3644,8.367585937679396
E07000108,52270,5929,11.343026592691793
E07000109,43928,4601,10.47395738481151
E07000110,68870,5877,8.533468854363294
E07000111,51064,3882,7.602224659251136
E07000112,51244,5539,10.809070330184998
E07000113,60346,6085,10.08351837735724
E07000114,64532,8247,12.779706192276699
E07000115,52264,4051,7.751033215980407
E07000116,51093,4555,8.915115573561936
E07000117,40274,6396,15.881213686249193
E07000118,48185,5567,11.553387983812389
E07000119,37327,4339,11.624293406917245
E07000120,36824,5539,15.041820551814034
E07000121,62096,9382,15.108863694923988
E07000122,40046,6614,16.51600659241872
E07000123,61662,9182,14.89085660536473
E07000124,25879,2995,11.573090150314927
E07000125,31103,4537,14.587017329518053
E07000126,49477,5211,10.532166461183984
E07000127,48662,6357,13.0635814393161
E07000128,50733,6372,12.559872272485364
E07000129,41525,4005,9.644792293798917
E07000130,71531,8991,12.569375515510758
E07000131,37513,3634,9.687308399754752
E07000132,48746,5443,11.166044393386123
E07000133,23090,2793,12.09614551754006
E07000134,41987,5205,12.396694214876034
E07000135,23045,2425,10.522889997830331
E07000136,29204,4529,15.508149568552254
E07000137,65545,10220,15.592341139675032
E07000138,42774,7187,16.80226305699724
E07000139,49211,5959,12.10908130296072
E07000140,39946,5350,13.3930806588895
E07000141,61553,7569,12.296719899923643
E07000142,41253,6058,14.684992606598307
E07000143,59461,8664,14.57089520862414
E07000144,58117,6748,11.611060447029269
E07000145,45868,7863,17.142670271213046
E07000146,68509,11380,16.6109562247296
E07000147,50307,8206,16.311845270041943
E07000148,65541,12827,19.570955585053632
E07000149,57603,7486,12.995850910542853
E07000163,26500,4160,15.69811320754717
E07000164,41194,5946,14.434140894304996
E07000165,72433,9448,13.043778388303673
E07000166,21884,3552,16.23103637360629
E07000167,24444,3938,16.110292914416625
E07000168,53227,9951,18.69539895165987
E07000169,37233,4799,12.889103752047914
E07000170,54617,8466,15.500668290092829
E07000171,51265,7670,14.961474690334537
E07000172,50377,6496,12.89477340849991
E07000173,53041,6318,11.911540129333911
E07000174,48261,7677,15.907254304718096
E07000175,52450,7390,14.089609151572926
E07000176,49328,5032,10.201102821926694
E07000177,61676,4826,7.824761657695052
E07000178,60193,6651,11.049457578123702
E07000179,58865,4129,7.0143548798097335
E07000180,53758,3809,7.085457048253284
E07000181,47096,3446,7.3169695940207236
E07000187,51304,5692,11.094651489162638
E07000188,54216,6198,11.432049579459939
E07000189,77355,8738,11.295973110981837
E07000192,43830,7246,16.532055669632673
E07000193,50944,8333,16.357176507537687
E07000194,44529,5665,12.722046306901122
E07000195,56811,10443,18.382003485240535
E07000196,48051,6051,12.592870075544734
E07000197,60047,8773,14.61022199277233
E07000198,45060,7098,15.752330226364847
E07000199,34163,4910,14.372274097708045
E07000200,41034,5422,13.213432763074524
E07000202,62246,10803,17.355332069530572
E07000203,43735,5734,13.11078083914485
E07000207,57412,3477,6.056225179405002
E07000208,32315,2352,7.2783537057094225
E07000209,58788,4615,7.85024154589372
E07000210,38895,2778,7.142306209024296
E07000211,60259,4133,6.858726497286713
E07000212,35603,2447,6.873016318849536
E07000213,42963,2956,6.8803388962595715
E07000214,36494,2116,5.7982134049432785
E07000215,36299,2436,6.710928675721093
E07000216,53560,3896,7.274085138162809
E07000217,42884,2796,6.5199141871094115
E07000218,27952,4295,15.365626788780768
E07000219,56861,9101,16.00569810590739
E07000220,45191,6502,14.387820583744551
E07000221,56188,7499,13.346266106641988
E07000222,63375,8384,13.229191321499014
E07000223,29295,2704,9.230244068953747
E07000224,72447,6337,8.747084075255014
E07000225,54060,4842,8.956714761376249
E07000226,46423,3805,8.196368179566162
E07000227,59523,4085,6.862893335349361
E07000228,62192,4149,6.67127604836635
E07000229,50954,4813,9.445774620245711
E07000234,41313,4841,11.717861205915813
E07000235,34797,5437,15.624910193407477
E07000236,37413,5405,14.446850025392244
E07000237,45380,7042,15.517849272807405
E07000238,53520,7486,13.98729446935725
E07000239,46357,7258,15.656750868261534
E07000240,61008,5620,9.211906635195383
E07000241,47599,6236,13.101115569654825
E07000242,61545,6160,10.00893655049151
E07000243,37997,4838,12.732584151380372
E07000244,114121,17076,14.963065518178073
E07000245,77486,9983,12.883617685775494
E07000246,69773,8023,11.49871726885758
E08000001,124572,18250,14.650162155219471
E08000002,83689,11035,13.185723332815543
E08000003,219112,44864,20.475373325057504
E08000004,96271,13867,14.404130007998257
E08000005,93801,14330,15.27702263302097
E08000006,110992,17004,15.320023064725385
E08000007,130876,15613,11.92961276322626
E08000008,101754,14379,14.131139807771683
E08000009,101237,12440,12.287997471280262
E08000010,145998,20191,13.829641501938383
E08000011,65877,9820,14.906568301531642
