"","Table 2: Fuel poor households by administrative area [Notes 3 and 4], 2022","...2","...3","...4","...5","...6","...7"
"1",NA,NA,NA,NA,NA,NA,NA
"2","Area Codes","Area names",NA,NA,"Number of households","Number of households in fuel poverty","Proportion of households fuel poor (%)"
"3","E92000001","ENGLAND",NA,NA,"24327942","3175068","13.051"
"4","E12000001","NORTH EAST",NA,NA,"1203514","131122","10.895"
"5","E06000047",NA,"County Durham",NA,"240176","27562","11.475"
"6","E06000005",NA,"Darlington",NA,"50074","5594","11.170999999999999"
"7","E06000001",NA,"Hartlepool",NA,"41920","4714","11.244999999999999"
"8","E06000002",NA,"Middlesbrough",NA,"61667","7917","12.837999999999999"
"9","E06000057",NA,"Northumberland",NA,"150385","15974","10.622"
"10","E06000003",NA,"Redcar and Cleveland",NA,"63121","7474","11.84"
"11","E06000004",NA,"Stockton-on-Tees",NA,"85764","8249","9.6180000000000003"
"12","E11000007",NA,"Tyne and Wear (Met County)",NA,"510407","53638","10.5"
"13","E08000037",NA,NA,"Gateshead","91164","9315","10.217000000000001"
"14","E08000021",NA,NA,"Newcastle upon Tyne","125722","14375","11.433"
"15","E08000022",NA,NA,"North Tyneside","98453","8776","8.9130000000000003"
"16","E08000023",NA,NA,"South Tyneside","69945","7498","10.718999999999999"
"17","E08000024",NA,NA,"Sunderland","125123","13674","10.928000000000001"
"18","E12000002","NORTH WEST",NA,NA,"3242792","458323","14.134"
"19","E06000008",NA,"Blackburn with Darwen",NA,"60441","10666","17.646000000000001"
"20","E06000009",NA,"Blackpool",NA,"66704","13149","19.712"
"21","E06000049",NA,"Cheshire East",NA,"179721","20163","11.218999999999999"
"22","E06000050",NA,"Cheshire West and Chester",NA,"159532","18147","11.375"
"23","E06000063",NA,"Cumberland",NA,"128969","18628","14.443"
"24","E06000006",NA,"Halton",NA,"57492","6987","12.151999999999999"
"25","E06000007",NA,"Warrington",NA,"93123","9750","10.47"
"26","E06000064",NA,"Westmorland and Furness",NA,"106475","15387","14.451000000000001"
"27","E11000001",NA,"Greater Manchester (Met County)",NA,"1211501","170528","14.07"
"28","E08000001",NA,NA,"Bolton","122179","18209","14.903"
"29","E08000002",NA,NA,"Bury","82964","10860","13.09"
"30","E08000003",NA,NA,"Manchester","220648","36882","16.715"
"31","E08000004",NA,NA,"Oldham","95865","14811","15.449"
"32","E08000005",NA,NA,"Rochdale","92788","14117","15.214"
"33","E08000006",NA,NA,"Salford","118355","14929","12.613"
"34","E08000007",NA,NA,"Stockport","130277","15714","12.061"
"35","E08000008",NA,NA,"Tameside","102335","14150","13.827"
"36","E08000009",NA,NA,"Trafford","99014","11294","11.406000000000001"
"37","E08000010",NA,NA,"Wigan","147076","19562","13.3"
"38","E10000017",NA,"Lancashire",NA,"540227","78157","14.46"
"39","E07000117",NA,NA,"Burnley","41000","7899","19.265000000000001"
"40","E07000118",NA,NA,"Chorley","51532","5743","11.144"
"41","E07000119",NA,NA,"Fylde","38635","4864","12.589"
"42","E07000120",NA,NA,"Hyndburn","35789","6592","18.419"
"43","E07000121",NA,NA,"Lancaster","61783","9358","15.146000000000001"
"44","E07000122",NA,NA,"Pendle","39170","7682","19.611000000000001"
"45","E07000123",NA,NA,"Preston","61325","9031","14.726000000000001"
"46","E07000124",NA,NA,"Ribble Valley","27497","3530","12.837"
"47","E07000125",NA,NA,"Rossendale","31413","4792","15.254"
"48","E07000126",NA,NA,"South Ribble","50005","5087","10.172000000000001"
"49","E07000127",NA,NA,"West Lancashire","49877","6613","13.257999999999999"
"50","E07000128",NA,NA,"Wyre","52201","6966","13.343999999999999"
"51","E11000002",NA,"Merseyside (Met County)",NA,"638607","96761","15.15"
"52","E08000011",NA,NA,"Knowsley","67941","8700","12.805"
"53","E08000012",NA,NA,"Liverpool","213536","36629","17.152999999999999"
"54","E08000014",NA,NA,"Sefton","83291","11390","13.673999999999999"
"55","E08000013",NA,NA,"St. Helens","126557","17625","13.926"
"56","E08000015",NA,NA,"Wirral","147282","22417","15.22"
"57","E12000003","YORKSHIRE AND THE HUMBER",NA,NA,"2400499","408890","17.033999999999999"
"58","E06000011",NA,"East Riding of Yorkshire",NA,"156544","23789","15.196"
"59","E06000010",NA,"Kingston upon Hull, City of",NA,"118935","24308","20.437999999999999"
"60","E06000012",NA,"North East Lincolnshire",NA,"71975","13962","19.398"
"61","E06000013",NA,"North Lincolnshire",NA,"75351","12472","16.550999999999998"
"62","E06000065",NA,"North Yorkshire",NA,"282724","44612","15.779"
"63","E06000014",NA,"York",NA,"88054","12077","13.715"
"64","E11000003",NA,"South Yorkshire (Met County)",NA,"605167","104103","17.2"
