LA Code,households,fuel_poor,proportion
E06000001,NA,42645,NA
E06000002,NA,60318,NA
E06000003,NA,62870,NA
E06000004,NA,83510,NA
E06000005,NA,49204,NA
E06000006,NA,56233,NA
E06000007,NA,89883,NA
E06000008,NA,60504,NA
E06000009,NA,68041,NA
E06000010,NA,119733,NA
E06000011,NA,152382,NA
E06000012,NA,74239,NA
E06000013,NA,75168,NA
E06000014,NA,88898,NA
E06000015,NA,109670,NA
E06000016,NA,132344,NA
E06000017,NA,16102,NA
E06000018,NA,135580,NA
E06000019,NA,84028,NA
E06000020,NA,71336,NA
E06000021,NA,115172,NA
E06000022,NA,81129,NA
E06000031,NA,80172,NA
E06000032,NA,80287,NA
E06000033,NA,80525,NA
E06000034,NA,67416,NA
E06000035,NA,114663,NA
E06000036,NA,49677,NA
E06000037,NA,67274,NA
E06000038,NA,67961,NA
E06000039,NA,54738,NA
E06000040,NA,62957,NA
E06000041,NA,65254,NA
E06000042,NA,106654,NA
E06000043,NA,130998,NA
E06000044,NA,92144,NA
E06000045,NA,106104,NA
E06000046,NA,65861,NA
E06000047,NA,235959,NA
E06000049,NA,168372,NA
E06000050,NA,149439,NA
E06000051,NA,138460,NA
E06000055,NA,68890,NA
E06000056,NA,112472,NA
E06000057,NA,146167,NA
E06000058,NA,183610,NA
E06000060,NA,216950,NA
E07000008,NA,50486,NA
E07000009,NA,37304,NA
E07000010,NA,43565,NA
E07000011,NA,74808,NA
E07000012,NA,64768,NA
E07000026,NA,44660,NA
E07000027,NA,32967,NA
E07000028,NA,50955,NA
E07000029,NA,32275,NA
E07000030,NA,24309,NA
E07000031,NA,49212,NA
E07000032,NA,56377,NA
E07000033,NA,35135,NA
E07000034,NA,50185,NA
E07000035,NA,33096,NA
E07000036,NA,52240,NA
E07000037,NA,41854,NA
E07000038,NA,46261,NA
E07000039,NA,41778,NA
E07000061,NA,48630,NA
E07000062,NA,44311,NA
E07000063,NA,45481,NA
E07000064,NA,44106,NA
E07000065,NA,67567,NA
E07000066,NA,78458,NA
E07000067,NA,65848,NA
E07000068,NA,33069,NA
E07000069,NA,39359,NA
E07000070,NA,75179,NA
E07000071,NA,77572,NA
E07000072,NA,56254,NA
E07000073,NA,37401,NA
E07000074,NA,27869,NA
E07000075,NA,36255,NA
E07000076,NA,67144,NA
E07000077,NA,33867,NA
E07000084,NA,75020,NA
E07000085,NA,51044,NA
E07000086,NA,56308,NA
E07000087,NA,50236,NA
E07000088,NA,38215,NA
E07000089,NA,38395,NA
E07000090,NA,55280,NA
E07000091,NA,82935,NA
E07000092,NA,39418,NA
E07000093,NA,51394,NA
E07000094,NA,50582,NA
E07000095,NA,40599,NA
E07000096,NA,64610,NA
E07000098,NA,42914,NA
E07000099,NA,57680,NA
E07000102,NA,37918,NA
E07000103,NA,39453,NA
E07000105,NA,51634,NA
E07000106,NA,65602,NA
E07000107,NA,43292,NA
E07000108,NA,51976,NA
E07000109,NA,43668,NA
E07000110,NA,68469,NA
E07000111,NA,50737,NA
E07000112,NA,50959,NA
E07000113,NA,59997,NA
E07000114,NA,64157,NA
E07000115,NA,51981,NA
E07000116,NA,50814,NA
E07000117,NA,39670,NA
E07000118,NA,47473,NA
E07000119,NA,36781,NA
E07000120,NA,36271,NA
E07000121,NA,61141,NA
E07000122,NA,39460,NA
E07000123,NA,60749,NA
E07000124,NA,25463,NA
E07000125,NA,30654,NA
E07000126,NA,48730,NA
E07000127,NA,47944,NA
E07000128,NA,49967,NA
E07000129,NA,41491,NA
E07000130,NA,71430,NA
E07000131,NA,37494,NA
E07000132,NA,48696,NA
E07000133,NA,23061,NA
E07000134,NA,41941,NA
E07000135,NA,23030,NA
E07000136,NA,29178,NA
E07000137,NA,65476,NA
E07000138,NA,42754,NA
E07000139,NA,49191,NA
E07000140,NA,39908,NA
E07000141,NA,61485,NA
E07000142,NA,41192,NA
E07000143,NA,58965,NA
E07000144,NA,57611,NA
E07000145,NA,45472,NA
E07000146,NA,67915,NA
E07000147,NA,49840,NA
E07000148,NA,64957,NA
E07000149,NA,57082,NA
E07000150,NA,27132,NA
E07000151,NA,34005,NA
E07000152,NA,38220,NA
E07000153,NA,42474,NA
E07000154,NA,95196,NA
E07000155,NA,37387,NA
E07000156,NA,34413,NA
E07000163,NA,26195,NA
E07000164,NA,40720,NA
E07000165,NA,71628,NA
E07000166,NA,21636,NA
E07000167,NA,24145,NA
E07000168,NA,52640,NA
E07000169,NA,36812,NA
E07000170,NA,54566,NA
E07000171,NA,51224,NA
E07000172,NA,50344,NA
E07000173,NA,53002,NA
E07000174,NA,48239,NA
E07000175,NA,52387,NA
E07000176,NA,49271,NA
E07000177,NA,61328,NA
E07000178,NA,59850,NA
E07000179,NA,58520,NA
E07000180,NA,53430,NA
E07000181,NA,46819,NA
E07000192,NA,43418,NA
E07000193,NA,50487,NA
E07000194,NA,44127,NA
E07000195,NA,56279,NA
E07000196,NA,47611,NA
E07000197,NA,59511,NA
E07000198,NA,44648,NA
E07000199,NA,33833,NA
E07000200,NA,40666,NA
E07000202,NA,61715,NA
E07000203,NA,43395,NA
E07000207,NA,57075,NA
E07000208,NA,32125,NA
E07000209,NA,58420,NA
E07000210,NA,38674,NA
E07000211,NA,59907,NA
E07000212,NA,35393,NA
E07000213,NA,42694,NA
E07000214,NA,36270,NA
E07000215,NA,36060,NA
E07000216,NA,53257,NA
E07000217,NA,42649,NA
E07000218,NA,27687,NA
E07000219,NA,56332,NA
E07000220,NA,44782,NA
E07000221,NA,55635,NA
E07000222,NA,62776,NA
E07000223,NA,29120,NA
E07000224,NA,72015,NA
E07000225,NA,53740,NA
E07000226,NA,46153,NA
E07000227,NA,59157,NA
E07000228,NA,61810,NA
E07000229,NA,50663,NA
E07000234,NA,40943,NA
E07000235,NA,34464,NA
E07000236,NA,37065,NA
E07000237,NA,44956,NA
E07000238,NA,53017,NA
E07000239,NA,45941,NA
E07000240,NA,60507,NA
E07000241,NA,47193,NA
E07000242,NA,61040,NA
E07000243,NA,37653,NA
E07000244,NA,113142,NA
E07000245,NA,76831,NA
E08000001,NA,122724,NA
E08000002,NA,82464,NA
E08000003,NA,215977,NA
E08000004,NA,94858,NA
E08000005,NA,92405,NA
E08000006,NA,109335,NA
E08000007,NA,128929,NA
E08000008,NA,100257,NA
E08000009,NA,99754,NA
E08000010,NA,143839,NA
E08000011,NA,64896,NA
E08000012,NA,217880,NA
E08000013,NA,80065,NA
E08000014,NA,124658,NA
E08000015,NA,148293,NA
E08000016,NA,107135,NA
E08000017,NA,134672,NA
E08000018,NA,115456,NA
E08000019,NA,245150,NA
E08000021,NA,123566,NA
E08000022,NA,96192,NA
E08000023,NA,70930,NA
E08000024,NA,126427,NA
E08000025,NA,439526,NA
E08000026,NA,137650,NA
E08000027,NA,138862,NA
E08000028,NA,129918,NA
E08000029,NA,92008,NA
E08000030,NA,115225,NA
E08000031,NA,109199,NA
E08000032,NA,212068,NA
E08000033,NA,94196,NA
E08000034,NA,184520,NA
E08000035,NA,341890,NA
E08000036,NA,149464,NA
E08000037,NA,94124,NA
E09000001,NA,4655,NA
E09000002,NA,74494,NA
E09000003,NA,144912,NA
E09000004,NA,98927,NA
E09000005,NA,117505,NA
E09000006,NA,139712,NA
E09000007,NA,104052,NA
E09000008,NA,154868,NA
E09000009,NA,132407,NA
E09000010,NA,127782,NA
E09000011,NA,108057,NA
E09000012,NA,108209,NA
E09000013,NA,86023,NA
E09000014,NA,108473,NA
E09000015,NA,89874,NA
E09000016,NA,103763,NA
E09000017,NA,107046,NA
E09000018,NA,101106,NA
E09000019,NA,99623,NA
E09000020,NA,84022,NA
E09000021,NA,67990,NA
E09000022,NA,138398,NA
E09000023,NA,123821,NA
E09000024,NA,84337,NA
E09000025,NA,108572,NA
E09000026,NA,105841,NA
E09000027,NA,85182,NA
E09000028,NA,128171,NA
E09000029,NA,83529,NA
E09000030,NA,107761,NA
E09000031,NA,103229,NA
E09000032,NA,139052,NA
E09000033,NA,112567,NA
E10000003,NA,270931,NA
E10000006,NA,234378,NA
E10000007,NA,356926,NA
E10000011,NA,250095,NA
E10000012,NA,628275,NA
E10000014,NA,588827,NA
E10000015,NA,489567,NA
E10000016,NA,653286,NA
E10000017,NA,524303,NA
E10000018,NA,287143,NA
E10000019,NA,329184,NA
E10000020,NA,401842,NA
E10000021,NA,308827,NA
E10000023,NA,273776,NA
E10000024,NA,359033,NA
E10000025,NA,279947,NA
E10000028,NA,379914,NA
E10000029,NA,335749,NA
E10000030,NA,492524,NA
E10000031,NA,247212,NA
E10000032,NA,372658,NA
E10000034,NA,256386,NA
E11000001,NA,1190542,NA
E11000002,NA,635792,NA
E11000003,NA,602413,NA
E11000005,NA,1162388,NA
E11000006,NA,982138,NA
E11000007,NA,511239,NA
E12000001,NA,1191912,NA
E12000002,NA,3177487,NA
E12000003,NA,2368747,NA
E12000004,NA,2034809,NA
E12000005,NA,2454896,NA
E12000006,NA,2616126,NA
E12000007,NA,3483960,NA
E12000008,NA,3838572,NA
E12000009,NA,2495242,NA
E13000001,NA,1453399,NA
E13000002,NA,2030561,NA
E92000001,NA,23661751,NA
