"Area_Codes","Year","Previous_Year","Current_Proportion","Previous_Proportion","Percent_Change","Significant","Direction"
"E06000001",2013,2012,21.6463041402444,21.6430137884097,0.0152028357365918,FALSE,"increase"
"E06000002",2013,2012,27.2041261379764,28.0172413793103,-2.90219593829946,FALSE,"decrease"
"E06000003",2013,2012,21.3388218500506,21.1948717948718,0.679173984027722,FALSE,"increase"
"E06000004",2013,2012,19.7194368732965,19.1836734693878,2.79280923314111,FALSE,"increase"
"E06000005",2013,2012,22.090014422669,21.9959400170257,0.427689862631395,FALSE,"increase"
"E06000006",2013,2012,16.2363793388582,17.0782595500929,-4.92954336924877,FALSE,"decrease"
"E06000007",2013,2012,14.0772344634068,15.3452412056721,-8.26319199073002,FALSE,"decrease"
"E06000008",2013,2012,24.0642990143323,26.0251031273138,-7.53427989656495,FALSE,"decrease"
"E06000009",2013,2012,24.9950587627142,25.1626591230552,-0.666067761445112,FALSE,"decrease"
"E06000010",2013,2012,20.6596179785058,20.6700318855941,-0.0503816692007974,FALSE,"decrease"
"E06000011",2013,2012,14.4963649557086,15.4726089215874,-6.3094980996821,FALSE,"decrease"
"E06000012",2013,2012,19.0905642884234,18.6930965307296,2.12628098849435,FALSE,"increase"
"E06000013",2013,2012,14.4536394006182,16.0244699108675,-9.80269874127936,FALSE,"decrease"
"E06000014",2013,2012,15.9712938858791,16.892603778886,-5.45392471797889,FALSE,"decrease"
"E06000015",2013,2012,22.7382128165543,29.693607725914,-23.4238795553618,TRUE,"decrease"
"E06000016",2013,2012,29.3163964566271,39.5900583586433,-25.9501054758442,TRUE,"decrease"
"E06000017",2013,2012,16.4652074485462,22.2193211488251,-25.8968924466136,TRUE,"decrease"
"E06000018",2013,2012,24.8216921762101,34.1448078311429,-27.3046364795451,TRUE,"decrease"
"E06000019",2013,2012,24.9821946380424,30.4124385395962,-17.8553386782312,FALSE,"decrease"
"E06000020",2013,2012,19.1465494032128,20.509904565782,-6.64730134748543,FALSE,"decrease"
"E06000021",2013,2012,25.9729797301677,29.8944944963991,-13.1178493976667,FALSE,"decrease"
"E06000022",2013,2012,21.3837371493517,17.6961514628133,20.8383483509818,TRUE,"increase"
"E06000023",2013,2012,23.4112300524291,20.57060886197,13.8091254834499,FALSE,"increase"
"E06000024",2013,2012,16.8770378022404,13.5138994145881,24.8865133924397,TRUE,"increase"
"E06000025",2013,2012,16.0299201598571,12.5502823024334,27.7255744020119,TRUE,"increase"
"E06000026",2013,2012,23.717787035668,19.1175035269691,24.0632020923091,TRUE,"increase"
"E06000027",2013,2012,22.6177066906961,18.2952865823616,23.6258671810133,TRUE,"increase"
"E06000030",2013,2012,17.3260309278351,14.2009823268868,22.0058621932909,TRUE,"increase"
"E06000031",2013,2012,17.1809468715899,17.8303370018456,-3.64205191516281,FALSE,"decrease"
"E06000032",2013,2012,23.7070830219845,24.936657131181,-4.93078965126818,FALSE,"decrease"
"E06000033",2013,2012,17.3507876636343,17.1641487704085,1.08737634311101,FALSE,"increase"
"E06000034",2013,2012,15.3549394767669,13.8835676483003,10.59793754559,FALSE,"increase"
"E06000035",2013,2012,17.3274663348946,16.0243484160338,8.13211174038698,FALSE,"increase"
"E06000036",2013,2012,9.90545085348055,9.06374067449064,9.28656510836473,FALSE,"increase"
"E06000037",2013,2012,11.761863944518,12.2965032270494,-4.34789689930158,FALSE,"decrease"
"E06000038",2013,2012,19.8588242562788,19.8248825917376,0.17120739244804,FALSE,"increase"
"E06000039",2013,2012,17.9117911791179,18.6669558017585,-4.04546210244663,FALSE,"decrease"
"E06000040",2013,2012,13.5329580654831,13.7211855104281,-1.37180161875916,FALSE,"decrease"
"E06000041",2013,2012,10.9879324215607,10.3576405016256,6.08528476959765,FALSE,"increase"
"E06000042",2013,2012,11.1681124885532,10.1361573373676,10.180930670652,FALSE,"increase"
"E06000043",2013,2012,21.0418549593288,19.9499316501145,5.47331854747498,FALSE,"increase"
"E06000044",2013,2012,21.7168212071221,19.8501170960187,9.40399546296782,FALSE,"increase"
"E06000045",2013,2012,18.2552711737015,18.7344041229133,-2.55750300926727,FALSE,"decrease"
"E06000046",2013,2012,17.749661812684,17.670380078637,0.448670224942418,FALSE,"increase"
"E06000047",2013,2012,20.3935583459757,21.2297189668904,-3.93863254722668,FALSE,"decrease"
"E06000049",2013,2012,15.539179562761,17.5887397559181,-11.652683600981,FALSE,"decrease"
"E06000050",2013,2012,15.7084622358795,17.3958117354344,-9.69974569291212,FALSE,"decrease"
"E06000051",2013,2012,23.4178382115695,28.7041198501873,-18.4164561261867,FALSE,"decrease"
"E06000052",2013,2012,25.5565457035827,21.192808462811,20.5906510617937,TRUE,"increase"
"E06000053",2013,2012,39.7338403041825,36.6829268292683,8.31698487177409,FALSE,"increase"
"E06000054",2013,2012,17.7658445451922,14.7765499755438,20.2299899137206,TRUE,"increase"
"E06000055",2013,2012,17.9011968734734,18.3294479597824,-2.33641017039165,FALSE,"decrease"
"E06000056",2013,2012,13.5575019609308,13.3735686745587,1.37534932408885,FALSE,"increase"
"E06000057",2013,2012,20.1814350512518,21.9022610588876,-7.85684182564117,FALSE,"decrease"
"E06000058",2013,2012,18.1172786791916,15.7874886125601,14.7571923806677,FALSE,"increase"
"E06000059",2013,2012,17.8794514646755,15.4436641221374,15.7720818276964,FALSE,"increase"
"E06000060",2013,2012,13.2665353930709,14.1052621080348,-5.94619730239636,FALSE,"decrease"
"E06000061",2013,2012,16.2798950208849,20.8869222188569,-22.0569940831815,TRUE,"decrease"
"E06000062",2013,2012,16.6940488076131,20.7418770398147,-19.5152455316925,FALSE,"decrease"
"E07000008",2013,2012,21.3597698273705,24.5293238295383,-12.921489496384,FALSE,"decrease"
"E07000009",2013,2012,12.9027715187021,13.3762057877814,-3.53937638662649,FALSE,"decrease"
"E07000010",2013,2012,13.9401226403751,15.2548697664005,-8.61854048024184,FALSE,"decrease"
"E07000011",2013,2012,12.3625678373591,11.7834162569123,4.91497175199138,FALSE,"increase"
"E07000012",2013,2012,12.6326049874096,13.5834149306142,-6.99978575388779,FALSE,"decrease"
"E07000026",2013,2012,18.5804869017865,21.0639364215651,-11.7900541953595,FALSE,"decrease"
"E07000027",2013,2012,25.5574721655951,24.3482203581954,4.96648949947866,FALSE,"increase"
"E07000028",2013,2012,17.9459634756876,20.1869197959354,-11.1010314743461,FALSE,"decrease"
"E07000029",2013,2012,17.3536765177255,19.4504292485664,-10.7799817888104,FALSE,"decrease"
"E07000030",2013,2012,20.0943516511539,24.139445029856,-16.7571929416731,FALSE,"decrease"
"E07000031",2013,2012,17.9012215891171,21.579279024793,-17.0443944464043,FALSE,"decrease"
"E07000032",2013,2012,18.1755484724785,24.5245058773123,-25.8882174287036,TRUE,"decrease"
"E07000033",2013,2012,17.4331678727349,23.0838189152846,-24.4788397590843,TRUE,"decrease"
"E07000034",2013,2012,17.7714943973191,24.2076617123718,-26.5873151712268,TRUE,"decrease"
"E07000035",2013,2012,20.0764696511072,29.0995863824372,-31.0077147239997,TRUE,"decrease"
"E07000036",2013,2012,18.4314909896305,23.518764329673,-21.6306999327512,TRUE,"decrease"
"E07000037",2013,2012,18.5361312399356,24.7057344064386,-24.972352835199,TRUE,"decrease"
"E07000038",2013,2012,15.9000955370547,22.1552802091622,-28.233380995654,TRUE,"decrease"
"E07000039",2013,2012,15.9062327078827,20.5378911650119,-22.5517723310348,TRUE,"decrease"
"E07000040",2013,2012,19.5092874518712,17.0059309642335,14.7204907094043,FALSE,"increase"
"E07000041",2013,2012,23.2148371159487,19.8858042921835,16.7407502098054,FALSE,"increase"
"E07000042",2013,2012,22.586917406698,19.4942855450939,15.8642995889758,FALSE,"increase"
"E07000043",2013,2012,24.0153263999619,20.4716958241332,17.3099024441896,FALSE,"increase"
"E07000044",2013,2012,21.5052099453214,18.9279511604652,13.6161529740172,FALSE,"increase"
"E07000045",2013,2012,20.8923163603071,17.2740171339284,20.9464839494219,TRUE,"increase"
"E07000046",2013,2012,24.80873202081,21.2844163950343,16.5581971352427,FALSE,"increase"
"E07000047",2013,2012,24.3408387042772,21.6307363927428,12.528941513261,FALSE,"increase"
"E07000061",2013,2012,15.0871741757293,14.6652733619405,2.87686975466631,FALSE,"increase"
"E07000062",2013,2012,20.9346280152149,20.0792666618037,4.25992327218969,FALSE,"increase"
"E07000063",2013,2012,13.621277772656,13.4587554269175,1.2075585043581,FALSE,"increase"
"E07000064",2013,2012,15.7808375543982,16.4071680376028,-3.81741981168928,FALSE,"decrease"
"E07000065",2013,2012,13.1008701856706,14.4949059435981,-9.6174184458451,FALSE,"decrease"
"E07000066",2013,2012,12.4428780102116,11.2611422452754,10.493924498929,FALSE,"increase"
"E07000067",2013,2012,14.4303069972381,15.0035632012463,-3.82080040800295,FALSE,"decrease"
"E07000068",2013,2012,13.656737769018,14.2715658116272,-4.3080629744796,FALSE,"decrease"
"E07000069",2013,2012,13.3825219878632,12.2282382340691,9.43949350429034,FALSE,"increase"
"E07000070",2013,2012,13.0785045944699,13.4087542478724,-2.46294060803525,FALSE,"decrease"
"E07000071",2013,2012,14.9398736327196,15.3852674408748,-2.89493705499003,FALSE,"decrease"
"E07000072",2013,2012,14.7441538259909,15.2996845425867,-3.63099458063648,FALSE,"decrease"
"E07000073",2013,2012,12.9929349508824,11.908169524199,9.10942210285982,FALSE,"increase"
"E07000074",2013,2012,14.6075471698113,14.6195162112361,-0.0818702975656686,FALSE,"decrease"
"E07000075",2013,2012,12.6588522021703,12.0429264763512,5.1144190494611,FALSE,"increase"
"E07000076",2013,2012,16.602389239018,16.053124745376,3.42154254921747,FALSE,"increase"
"E07000077",2013,2012,15.0373134328358,17.5177763413058,-14.1596904775021,FALSE,"decrease"
"E07000078",2013,2012,19.5162464306377,16.5197189267419,18.1390949639286,FALSE,"increase"
"E07000079",2013,2012,19.5714173578587,18.0525865754596,8.41336933103965,FALSE,"increase"
"E07000080",2013,2012,20.5956025605344,17.7562665001277,15.9906141326854,FALSE,"increase"
"E07000081",2013,2012,18.9130065815528,16.3654908300137,15.5663876995797,FALSE,"increase"
"E07000082",2013,2012,18.7691633815156,17.1364171709377,9.52793220596272,FALSE,"increase"
"E07000083",2013,2012,16.140369849681,13.9215361695084,15.9381382424764,FALSE,"increase"
"E07000084",2013,2012,10.4927722994173,10.5277597285395,-0.332334988870931,FALSE,"decrease"
